File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/741.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run2
Injection Number	8
Position	9
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:34:22 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.504593
Signal Max.	93.160667
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.025333	0.010	-1.192757
0.025500	0.010	-1.170718
0.025667	0.010	-1.215466
0.025833	0.010	-1.207500
0.026000	0.010	-1.245120
0.026167	0.010	-1.219654
0.026333	0.010	-1.197467
0.026500	0.010	-1.214195
0.026667	0.010	-1.233785
0.026833	0.010	-1.244808
0.027000	0.010	-1.220562
0.027167	0.010	-1.192648
0.027333	0.010	-1.216543
0.027500	0.010	-1.236114
0.027667	0.010	-1.215046
0.027833	0.010	-1.223073
0.028000	0.010	-1.216791
0.028167	0.010	-1.227113
0.028333	0.010	-1.212639
0.028500	0.010	-1.216736
0.028667	0.010	-1.238824
0.028833	0.010	-1.223175
0.029000	0.010	-1.234056
0.029167	0.010	-1.214924
0.029333	0.010	-1.200469
0.029500	0.010	-1.226659
0.029667	0.010	-1.212636
0.029833	0.010	-1.216812
0.030000	0.010	-1.223569
0.030167	0.010	-1.253841
0.030333	0.010	-1.219158
0.030500	0.010	-1.183736
0.030667	0.010	-1.165601
0.030833	0.010	-1.173627
0.031000	0.010	-1.175070
0.031167	0.010	-1.202879
0.031333	0.010	-1.199327
0.031500	0.010	-1.197398
0.031667	0.010	-1.215054
0.031833	0.010	-1.198248
0.032000	0.010	-1.213996
0.032167	0.010	-1.224005
0.032333	0.010	-1.236271
0.032500	0.010	-1.215076
0.032667	0.010	-1.198913
0.032833	0.010	-1.192778
0.033000	0.010	-1.187485
0.033167	0.010	-1.211828
0.033333	0.010	-1.224645
0.033500	0.010	-1.213921
0.033667	0.010	-1.220847
0.033833	0.010	-1.237096
0.034000	0.010	-1.218755
0.034167	0.010	-1.227117
0.034333	0.010	-1.205768
0.034500	0.010	-1.218114
0.034667	0.010	-1.235410
0.034833	0.010	-1.232578
0.035000	0.010	-1.213432
0.035167	0.010	-1.204068
0.035333	0.010	-1.223509
0.035500	0.010	-1.228022
0.035667	0.010	-1.244774
0.035833	0.010	-1.222246
0.036000	0.010	-1.231915
0.036167	0.010	-1.196077
0.036333	0.010	-1.220736
0.036500	0.010	-1.215698
0.036667	0.010	-1.199339
0.036833	0.010	-1.196283
0.037000	0.010	-1.224262
0.037167	0.010	-1.201400
0.037333	0.010	-1.230422
0.037500	0.010	-1.217475
0.037667	0.010	-1.214319
0.037833	0.010	-1.234727
0.038000	0.010	-1.223093
0.038167	0.010	-1.211936
0.038333	0.010	-1.221566
0.038500	0.010	-1.208568
0.038667	0.010	-1.190602
0.038833	0.010	-1.211251
0.039000	0.010	-1.213546
0.039167	0.010	-1.205855
0.039333	0.010	-1.204289
0.039500	0.010	-1.211292
0.039667	0.010	-1.212753
0.039833	0.010	-1.191185
0.040000	0.010	-1.198146
0.040167	0.010	-1.199356
0.040333	0.010	-1.197372
0.040500	0.010	-1.229715
0.040667	0.010	-1.170910
0.040833	0.010	-1.183233
0.041000	0.010	-1.227544
0.041167	0.010	-1.203522
0.041333	0.010	-1.209337
0.041500	0.010	-1.228120
0.041667	0.010	-1.194543
0.041833	0.010	-1.223273
0.042000	0.010	-1.211125
0.042167	0.010	-1.196463
0.042333	0.010	-1.164374
0.042500	0.010	-1.199197
0.042667	0.010	-1.222864
0.042833	0.010	-1.231256
0.043000	0.010	-1.215134
0.043167	0.010	-1.223572
0.043333	0.010	-1.246159
0.043500	0.010	-1.236439
0.043667	0.010	-1.248891
0.043833	0.010	-1.229055
0.044000	0.010	-1.233175
0.044167	0.010	-1.229986
0.044333	0.010	-1.265240
0.044500	0.010	-1.261525
0.044667	0.010	-1.224352
0.044833	0.010	-1.202250
0.045000	0.010	-1.215541
0.045167	0.010	-1.211008
0.045333	0.010	-1.247806
0.045500	0.010	-1.210589
0.045667	0.010	-1.197813
0.045833	0.010	-1.223073
0.046000	0.010	-1.237410
0.046167	0.010	-1.221594
0.046333	0.010	-1.240242
0.046500	0.010	-1.244988
0.046667	0.010	-1.240832
0.046833	0.010	-1.216092
0.047000	0.010	-1.228391
0.047167	0.010	-1.224470
0.047333	0.010	-1.259211
0.047500	0.010	-1.249718
0.047667	0.010	-1.219915
0.047833	0.010	-1.227621
0.048000	0.010	-1.225873
0.048167	0.010	-1.205922
0.048333	0.010	-1.219069
0.048500	0.010	-1.223933
0.048667	0.010	-1.260833
0.048833	0.010	-1.255480
0.049000	0.010	-1.241106
0.049167	0.010	-1.225400
0.049333	0.010	-1.219811
0.049500	0.010	-1.211049
0.049667	0.010	-1.248439
0.049833	0.010	-1.228664
0.050000	0.010	-1.254591
0.050167	0.010	-1.246666
0.050333	0.010	-1.223569
0.050500	0.010	-1.266620
0.050667	0.010	-1.255330
0.050833	0.010	-1.256719
0.051000	0.010	-1.241068
0.051167	0.010	-1.241294
0.051333	0.010	-1.225714
0.051500	0.010	-1.219676
0.051667	0.010	-1.217169
0.051833	0.010	-1.222835
0.052000	0.010	-1.233636
0.052167	0.010	-1.250650
0.052333	0.010	-1.257078
0.052500	0.010	-1.221570
0.052667	0.010	-1.216948
0.052833	0.010	-1.221968
0.053000	0.010	-1.221562
0.053167	0.010	-1.245052
0.053333	0.010	-1.248933
0.053500	0.010	-1.247721
0.053667	0.010	-1.236963
0.053833	0.010	-1.246882
0.054000	0.010	-1.225478
0.054167	0.010	-1.206021
0.054333	0.010	-1.229150
0.054500	0.010	-1.241056
0.054667	0.010	-1.227115
0.054833	0.010	-1.218858
0.055000	0.010	-1.209901
0.055167	0.010	-1.236976
0.055333	0.010	-1.233376
0.055500	0.010	-1.254207
0.055667	0.010	-1.241286
0.055833	0.010	-1.241234
0.056000	0.010	-1.259819
0.056167	0.010	-1.238012
0.056333	0.010	-1.244596
0.056500	0.010	-1.236570
0.056667	0.010	-1.204548
0.056833	0.010	-1.235070
0.057000	0.010	-1.228800
0.057167	0.010	-1.243062
