File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/895.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run3
Injection Number	9
Position	10
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:45:19 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.992922
Signal Max.	92.919853
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	-1.724105
0.000167	0.010	-1.732638
0.000333	0.010	-1.722216
0.000667	0.020	-1.751171
0.000833	0.010	-1.755365
0.001000	0.010	-1.762557
0.001167	0.010	-1.737418
0.001333	0.010	-1.744565
0.001500	0.010	-1.730409
0.001667	0.010	-1.702827
0.001833	0.010	-1.706941
0.002000	0.010	-1.706490
0.002167	0.010	-1.723400
0.002333	0.010	-1.720556
0.002500	0.010	-1.721402
0.002667	0.010	-1.710805
0.002833	0.010	-1.716277
0.003000	0.010	-1.726110
0.003167	0.010	-1.733237
0.003333	0.010	-1.719346
0.003500	0.010	-1.726823
0.003667	0.010	-1.730960
0.003833	0.010	-1.735306
0.004000	0.010	-1.726230
0.004167	0.010	-1.725723
0.004333	0.010	-1.757475
0.004500	0.010	-1.747063
0.004667	0.010	-1.714196
0.004833	0.010	-1.711149
0.005000	0.010	-1.693143
0.005167	0.010	-1.725744
0.005333	0.010	-1.733966
0.005500	0.010	-1.697075
0.005667	0.010	-1.732783
0.005833	0.010	-1.749961
0.006000	0.010	-1.719741
0.006167	0.010	-1.734872
0.006333	0.010	-1.711909
0.006500	0.010	-1.703937
0.006667	0.010	-1.691901
0.006833	0.010	-1.684855
0.007000	0.010	-1.701756
0.007167	0.010	-1.727134
0.007333	0.010	-1.716229
0.007500	0.010	-1.727166
0.007667	0.010	-1.729527
0.007833	0.010	-1.716768
0.008000	0.010	-1.745549
0.008167	0.010	-1.739098
0.008333	0.010	-1.756181
0.008500	0.010	-1.763449
0.008667	0.010	-1.753984
0.008833	0.010	-1.752996
0.009000	0.010	-1.736272
0.009167	0.010	-1.722519
0.009333	0.010	-1.710480
0.009500	0.010	-1.725479
0.009667	0.010	-1.743233
0.009833	0.010	-1.749251
0.010000	0.010	-1.729126
0.010167	0.010	-1.724355
0.010333	0.010	-1.743867
0.010500	0.010	-1.712884
0.010667	0.010	-1.720850
0.010833	0.010	-1.736398
0.011000	0.010	-1.734660
0.011167	0.010	-1.732590
0.011333	0.010	-1.755324
0.011500	0.010	-1.731610
0.011667	0.010	-1.723852
0.011833	0.010	-1.741716
0.012000	0.010	-1.716969
0.012167	0.010	-1.729997
0.012333	0.010	-1.748672
0.012500	0.010	-1.754202
0.012667	0.010	-1.740505
0.012833	0.010	-1.731732
0.013000	0.010	-1.738151
0.013167	0.010	-1.727273
0.013333	0.010	-1.692042
0.013500	0.010	-1.694880
0.013667	0.010	-1.713563
0.013833	0.010	-1.707783
0.014000	0.010	-1.695542
0.014167	0.010	-1.699450
0.014333	0.010	-1.709798
0.014500	0.010	-1.744063
0.014667	0.010	-1.727410
0.014833	0.010	-1.728978
0.015000	0.010	-1.735216
0.015167	0.010	-1.693023
0.015333	0.010	-1.696618
0.015500	0.010	-1.733550
0.015667	0.010	-1.711915
0.015833	0.010	-1.750039
0.016000	0.010	-1.708655
0.016167	0.010	-1.697156
0.016333	0.010	-1.712199
0.016500	0.010	-1.739433
0.016667	0.010	-1.714278
0.016833	0.010	-1.735895
0.017000	0.010	-1.740965
0.017167	0.010	-1.744867
0.017333	0.010	-1.761198
0.017500	0.010	-1.734741
0.017667	0.010	-1.763357
0.017833	0.010	-1.749619
0.018000	0.010	-1.702487
0.018167	0.010	-1.709497
0.018333	0.010	-1.713276
0.018500	0.010	-1.714802
0.018667	0.010	-1.715582
0.018833	0.010	-1.753098
0.019000	0.010	-1.735506
0.019167	0.010	-1.714348
0.019333	0.010	-1.741217
0.019500	0.010	-1.706365
0.019667	0.010	-1.724617
0.019833	0.010	-1.713091
0.020000	0.010	-1.721439
0.020167	0.010	-1.729431
0.020333	0.010	-1.729856
0.020500	0.010	-1.721275
0.020667	0.010	-1.695304
0.020833	0.010	-1.713865
0.021000	0.010	-1.694748
0.021167	0.010	-1.711075
0.021333	0.010	-1.697899
0.021500	0.010	-1.737232
0.021667	0.010	-1.722665
0.021833	0.010	-1.726605
0.022000	0.010	-1.725808
0.022167	0.010	-1.758010
0.022333	0.010	-1.750382
0.022500	0.010	-1.716565
0.022667	0.010	-1.735806
0.022833	0.010	-1.734209
0.023000	0.010	-1.725637
0.023167	0.010	-1.715233
0.023333	0.010	-1.732063
0.023500	0.010	-1.746173
0.023667	0.010	-1.751261
0.023833	0.010	-1.730693
0.024000	0.010	-1.718897
0.024167	0.010	-1.712071
0.024333	0.010	-1.689799
0.024500	0.010	-1.684907
0.024667	0.010	-1.704788
0.024833	0.010	-1.737639
0.025000	0.010	-1.723730
0.025167	0.010	-1.729616
0.025333	0.010	-1.736421
0.025500	0.010	-1.731928
0.025667	0.010	-1.756618
0.025833	0.010	-1.731940
0.026000	0.010	-1.734727
