File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/500.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	5 mL Std
Injection Number	3
Position	3
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Calibration Standard
Status	Finished
Injection Date	11/1/2016
Injection Time	9:42:09 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.113934
Signal Max.	42.360594
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	-0.037469
0.000167	0.010	-0.073922
0.000333	0.010	-0.076040
0.000667	0.020	-0.051661
0.000833	0.010	-0.056294
0.001000	0.010	-0.032860
0.001167	0.010	-0.025128
0.001333	0.010	-0.049307
0.001500	0.010	-0.063738
0.001667	0.010	-0.067469
0.001833	0.010	-0.075329
0.002000	0.010	-0.038548
0.002167	0.010	-0.040434
0.002333	0.010	-0.052483
0.002500	0.010	-0.055091
0.002667	0.010	-0.099672
0.002833	0.010	-0.064768
0.003000	0.010	-0.059450
0.003167	0.010	-0.061683
0.003333	0.010	-0.065907
0.003500	0.010	-0.089133
0.003667	0.010	-0.078817
0.003833	0.010	-0.097640
0.004000	0.010	-0.075740
0.004167	0.010	-0.090153
0.004333	0.010	-0.064599
0.004500	0.010	-0.084911
0.004667	0.010	-0.083266
0.004833	0.010	-0.057461
0.005000	0.010	-0.092057
0.005167	0.010	-0.068144
0.005333	0.010	-0.057796
0.005500	0.010	-0.063818
0.005667	0.010	-0.061843
0.005833	0.010	-0.043828
0.006000	0.010	-0.065546
0.006167	0.010	-0.081311
0.006333	0.010	-0.064813
0.006500	0.010	-0.062231
0.006667	0.010	-0.078935
0.006833	0.010	-0.052103
0.007000	0.010	-0.058224
0.007167	0.010	-0.076168
0.007333	0.010	-0.073674
0.007500	0.010	-0.066485
0.007667	0.010	-0.047628
0.007833	0.010	-0.065548
0.008000	0.010	-0.061349
0.008167	0.010	-0.055468
0.008333	0.010	-0.041594
0.008500	0.010	-0.078210
0.008667	0.010	-0.047333
0.008833	0.010	-0.033377
0.009000	0.010	-0.038054
0.009167	0.010	-0.043158
0.009333	0.010	-0.079826
0.009500	0.010	-0.074103
0.009667	0.010	-0.079727
0.009833	0.010	-0.057439
0.010000	0.010	-0.057067
0.010167	0.010	-0.049688
0.010333	0.010	-0.069161
0.010500	0.010	-0.051331
0.010667	0.010	-0.067469
0.010833	0.010	-0.051265
0.011000	0.010	-0.073946
0.011167	0.010	-0.077519
0.011333	0.010	-0.087451
0.011500	0.010	-0.052107
0.011667	0.010	-0.064688
0.011833	0.010	-0.087489
0.012000	0.010	-0.061659
0.012167	0.010	-0.060461
0.012333	0.010	-0.055082
0.012500	0.010	-0.100470
0.012667	0.010	-0.085215
0.012833	0.010	-0.082952
0.013000	0.010	-0.074348
0.013167	0.010	-0.076894
0.013333	0.010	-0.087936
0.013500	0.010	-0.060515
0.013667	0.010	-0.065444
0.013833	0.010	-0.085233
0.014000	0.010	-0.051674
0.014167	0.010	-0.061557
0.014333	0.010	-0.081271
0.014500	0.010	-0.044739
0.014667	0.010	-0.052350
0.014833	0.010	-0.043178
0.015000	0.010	-0.069897
0.015167	0.010	-0.049780
0.015333	0.010	-0.056634
0.015500	0.010	-0.076280
0.015667	0.010	-0.066013
0.015833	0.010	-0.084767
0.016000	0.010	-0.058113
0.016167	0.010	-0.050586
0.016333	0.010	-0.055960
0.016500	0.010	-0.071174
0.016667	0.010	-0.102428
0.016833	0.010	-0.094533
0.017000	0.010	-0.081297
0.017167	0.010	-0.058791
0.017333	0.010	-0.054981
0.017500	0.010	-0.074759
0.017667	0.010	-0.065485
0.017833	0.010	-0.089351
0.018000	0.010	-0.092325
0.018167	0.010	-0.070668
0.018333	0.010	-0.057692
0.018500	0.010	-0.070946
0.018667	0.010	-0.095422
0.018833	0.010	-0.057354
0.019000	0.010	-0.052442
0.019167	0.010	-0.037872
0.019333	0.010	-0.056494
0.019500	0.010	-0.048322
0.019667	0.010	-0.048024
0.019833	0.010	-0.066656
0.020000	0.010	-0.079476
0.020167	0.010	-0.035137
0.020333	0.010	-0.060966
0.020500	0.010	-0.065329
0.020667	0.010	-0.077697
0.020833	0.010	-0.051299
0.021000	0.010	-0.041830
0.021167	0.010	-0.045159
0.021333	0.010	-0.047718
0.021500	0.010	-0.048830
0.021667	0.010	-0.047487
0.021833	0.010	-0.045299
0.022000	0.010	-0.054553
0.022167	0.010	-0.040837
0.022333	0.010	-0.078817
0.022500	0.010	-0.063059
0.022667	0.010	-0.053627
0.022833	0.010	-0.049527
0.023000	0.010	-0.071543
0.023167	0.010	-0.077590
0.023333	0.010	-0.064309
0.023500	0.010	-0.096771
0.023667	0.010	-0.059766
0.023833	0.010	-0.073363
0.024000	0.010	-0.076866
0.024167	0.010	-0.065776
0.024333	0.010	-0.071520
0.024500	0.010	-0.072456
0.024667	0.010	-0.072149
0.024833	0.010	-0.076560
0.025000	0.010	-0.052720
0.025167	0.010	-0.043250
0.025333	0.010	-0.028752
0.025500	0.010	-0.019109
0.025667	0.010	-0.032207
0.025833	0.010	-0.064060
0.026000	0.010	-0.082225
0.026167	0.010	-0.074032
0.026333	0.010	-0.050819
0.026500	0.010	-0.051827
0.026667	0.010	-0.059753
0.026833	0.010	-0.051343
0.027000	0.010	-0.031688
0.027167	0.010	-0.046186
0.027333	0.010	-0.037289
0.027500	0.010	-0.060966
0.027667	0.010	-0.065329
0.027833	0.010	-0.070701
0.028000	0.010	-0.060290
0.028167	0.010	-0.051355
0.028333	0.010	-0.064270
0.028500	0.010	-0.063689
0.028667	0.010	-0.048466
0.028833	0.010	-0.056510
0.029000	0.010	-0.064594
0.029167	0.010	-0.054963
0.029333	0.010	-0.085045
0.029500	0.010	-0.099634
0.029667	0.010	-0.075183
0.029833	0.010	-0.087015
0.030000	0.010	-0.098172
0.030167	0.010	-0.073834
0.030333	0.010	-0.088746
0.030500	0.010	-0.057036
0.030667	0.010	-0.057916
0.030833	0.010	-0.053174
0.031000	0.010	-0.058911
0.031167	0.010	-0.086092
0.031333	0.010	-0.062746
0.031500	0.010	-0.046224
0.031667	0.010	-0.090872
0.031833	0.010	-0.063218
0.032000	0.010	-0.048527
0.032167	0.010	-0.046331
0.032333	0.010	-0.069262
0.032500	0.010	-0.062738
0.032667	0.010	-0.084324
0.032833	0.010	-0.056853
0.033000	0.010	-0.051466
0.033167	0.010	-0.053802
0.033333	0.010	-0.045237
0.033500	0.010	-0.061078
0.033667	0.010	-0.075849
0.033833	0.010	-0.055040
0.034000	0.010	-0.062931
0.034167	0.010	-0.049470
0.034333	0.010	-0.061579
0.034500	0.010	-0.070720
0.034667	0.010	-0.100404
0.034833	0.010	-0.063127
0.035000	0.010	-0.095098
0.035167	0.010	-0.061624
0.035333	0.010	-0.054386
0.035500	0.010	-0.059438
0.035667	0.010	-0.082712
0.035833	0.010	-0.069877
0.036000	0.010	-0.052090
0.036167	0.010	-0.040215
0.036333	0.010	-0.046997
0.036500	0.010	-0.063625
0.036667	0.010	-0.057304
0.036833	0.010	-0.077329
0.037000	0.010	-0.046280
0.037167	0.010	-0.070131
0.037333	0.010	-0.062450
0.037500	0.010	-0.044629
0.037667	0.010	-0.047133
0.037833	0.010	-0.059228
0.038000	0.010	-0.044966
0.038167	0.010	-0.076512
0.038333	0.010	-0.093831
0.038500	0.010	-0.092445
0.038667	0.010	-0.090551
0.038833	0.010	-0.057599
0.039000	0.010	-0.040606
0.039167	0.010	-0.038921
0.039333	0.010	-0.046390
0.039500	0.010	-0.048032
0.039667	0.010	-0.064163
0.039833	0.010	-0.073270
0.040000	0.010	-0.053565
0.040167	0.010	-0.060685
0.040333	0.010	-0.039805
0.040500	0.010	-0.048020
0.040667	0.010	-0.060727
0.040833	0.010	-0.076410
0.041000	0.010	-0.075650
0.041167	0.010	-0.076300
0.041333	0.010	-0.068606
0.041500	0.010	-0.088880
0.041667	0.010	-0.092210
0.041833	0.010	-0.048602
0.042000	0.010	-0.029340
0.042167	0.010	-0.017715
0.042333	0.010	-0.052637
0.042500	0.010	-0.058367
0.042667	0.010	-0.033761
0.042833	0.010	-0.049405
0.043000	0.010	-0.065652
0.043167	0.010	-0.056403
0.043333	0.010	-0.061608
0.043500	0.010	-0.082853
0.043667	0.010	-0.093868
0.043833	0.010	-0.057923
0.044000	0.010	-0.085218
0.044167	0.010	-0.083533
0.044333	0.010	-0.075314
0.044500	0.010	-0.055433
0.044667	0.010	-0.037567
0.044833	0.010	-0.060240
0.045000	0.010	-0.053337
0.045167	0.010	-0.063082
0.045333	0.010	-0.087638
0.045500	0.010	-0.061635
0.045667	0.010	-0.067624
0.045833	0.010	-0.084487
0.046000	0.010	-0.067484
0.046167	0.010	-0.084382
0.046333	0.010	-0.079961
0.046500	0.010	-0.058565
0.046667	0.010	-0.076495
0.046833	0.010	-0.063433
0.047000	0.010	-0.084761
0.047167	0.010	-0.083290
0.047333	0.010	-0.060593
0.047500	0.010	-0.067973
0.047667	0.010	-0.050101
0.047833	0.010	-0.076872
0.048000	0.010	-0.077499
0.048167	0.010	-0.061507
0.048333	0.010	-0.058343
0.048500	0.010	-0.068511
0.048667	0.010	-0.077342
0.048833	0.010	-0.069326
0.049000	0.010	-0.061342
0.049167	0.010	-0.067452
0.049333	0.010	-0.081248
0.049500	0.010	-0.072450
0.049667	0.010	-0.085961
0.049833	0.010	-0.068616
0.050000	0.010	-0.045748
0.050167	0.010	-0.032113
0.050333	0.010	-0.060765
0.050500	0.010	-0.062435
0.050667	0.010	-0.044799
0.050833	0.010	-0.032813
0.051000	0.010	-0.048324
0.051167	0.010	-0.094504
0.051333	0.010	-0.077231
0.051500	0.010	-0.074136
0.051667	0.010	-0.069404
0.051833	0.010	-0.045022
0.052000	0.010	-0.049800
0.052167	0.010	-0.041538
0.052333	0.010	-0.037588
0.052500	0.010	-0.071612
0.052667	0.010	-0.105159
0.052833	0.010	-0.063992
0.053000	0.010	-0.062633
0.053167	0.010	-0.049208
0.053333	0.010	-0.044353
0.053500	0.010	-0.055524
0.053667	0.010	-0.069024
0.053833	0.010	-0.085096
0.054000	0.010	-0.068417
0.054167	0.010	-0.084877
0.054333	0.010	-0.057895
0.054500	0.010	-0.069877
0.054667	0.010	-0.037828
0.054833	0.010	-0.054249
0.055000	0.010	-0.053362
0.055167	0.010	-0.052888
0.055333	0.010	-0.079063
0.055500	0.010	-0.039457
0.055667	0.010	-0.039003
0.055833	0.010	-0.044821
0.056000	0.010	-0.046991
0.056167	0.010	-0.055066
0.056333	0.010	-0.069894
0.056500	0.010	-0.048888
0.056667	0.010	-0.022999
0.056833	0.010	-0.063623
0.057000	0.010	-0.047053
0.057167	0.010	-0.051529
0.057333	0.010	-0.063590
0.057500	0.010	-0.086299
0.057667	0.010	-0.060162
0.057833	0.010	-0.042118
0.058000	0.010	-0.070194
0.058167	0.010	-0.052715
0.058333	0.010	-0.065441
0.058500	0.010	-0.064911
0.058667	0.010	-0.081882
0.058833	0.010	-0.080524
0.059000	0.010	-0.061571
0.059167	0.010	-0.081946
0.059333	0.010	-0.092494
0.059500	0.010	-0.080100
0.059667	0.010	-0.039686
0.059833	0.010	-0.045207
0.060000	0.010	-0.028756
0.060167	0.010	-0.083147
0.060333	0.010	-0.078711
0.060500	0.010	-0.067114
0.060667	0.010	-0.087786
0.060833	0.010	-0.053055
0.061000	0.010	-0.048078
0.061167	0.010	-0.061377
0.061333	0.010	-0.075355
0.061500	0.010	-0.042970
0.061667	0.010	-0.090705
0.061833	0.010	-0.076113
0.062000	0.010	-0.097623
0.062167	0.010	-0.084022
0.062333	0.010	-0.070003
0.062500	0.010	-0.074470
0.062667	0.010	-0.081669
0.062833	0.010	-0.058416
0.063000	0.010	-0.063374
0.063167	0.010	-0.038433
0.063333	0.010	-0.061017
0.063500	0.010	-0.080234
0.063667	0.010	-0.071118
0.063833	0.010	-0.053831
0.064000	0.010	-0.040435
0.064167	0.010	-0.060639
0.064333	0.010	-0.073252
0.064500	0.010	-0.074857
0.064667	0.010	-0.069762
0.064833	0.010	-0.075881
0.065000	0.010	-0.072122
0.065167	0.010	-0.082966
0.065333	0.010	-0.066246
0.065500	0.010	-0.038879
0.065667	0.010	-0.057734
0.065833	0.010	-0.047034
0.066000	0.010	-0.038997
0.066167	0.010	-0.055826
0.066333	0.010	-0.083147
0.066500	0.010	-0.071224
0.066667	0.010	-0.064618
0.066833	0.010	-0.075650
0.067000	0.010	-0.070864
0.067167	0.010	-0.059736
0.067333	0.010	-0.081104
0.067500	0.010	-0.104115
0.067667	0.010	-0.069151
0.067833	0.010	-0.082076
0.068000	0.010	-0.086624
0.068167	0.010	-0.058920
0.068333	0.010	-0.061855
0.068500	0.010	-0.066473
0.068667	0.010	-0.061796
0.068833	0.010	-0.045457
0.069000	0.010	-0.094415
0.069167	0.010	-0.057895
0.069333	0.010	-0.068450
0.069500	0.010	-0.072324
0.069667	0.010	-0.065318
0.069833	0.010	-0.076890
0.070000	0.010	-0.055315
0.070167	0.010	-0.063675
0.070333	0.010	-0.057906
0.070500	0.010	-0.047331
0.070667	0.010	-0.026336
0.070833	0.010	-0.047739
0.071000	0.010	-0.071879
0.071167	0.010	-0.046723
0.071333	0.010	-0.063906
0.071500	0.010	-0.078058
0.071667	0.010	-0.072355
0.071833	0.010	-0.064707
0.072000	0.010	-0.079966
0.072167	0.010	-0.071893
0.072333	0.010	-0.083089
0.072500	0.010	-0.046022
0.072667	0.010	-0.077550
0.072833	0.010	-0.059747
0.073000	0.010	-0.061102
0.073167	0.010	-0.059550
0.073333	0.010	-0.073536
0.073500	0.010	-0.052430
0.073667	0.010	-0.051011
0.073833	0.010	-0.030299
0.074000	0.010	-0.054719
0.074167	0.010	-0.066401
0.074333	0.010	-0.052361
0.074500	0.010	-0.045856
0.074667	0.010	-0.070081
0.074833	0.010	-0.078604
0.075000	0.010	-0.049065
0.075167	0.010	-0.061628
0.075333	0.010	-0.042262
0.075500	0.010	-0.058491
0.075667	0.010	-0.092326
0.075833	0.010	-0.061133
0.076000	0.010	-0.081087
0.076167	0.010	-0.087129
0.076333	0.010	-0.069212
0.076500	0.010	-0.076800
0.076667	0.010	-0.071319
0.076833	0.010	-0.059801
0.077000	0.010	-0.049671
0.077167	0.010	-0.037603
0.077333	0.010	-0.054195
0.077500	0.010	-0.093801
0.077667	0.010	-0.073850
0.077833	0.010	-0.077300
0.078000	0.010	-0.070912
0.078167	0.010	-0.080034
0.078333	0.010	-0.073794
0.078500	0.010	-0.056018
0.078667	0.010	-0.045663
0.078833	0.010	-0.038224
0.079000	0.010	-0.081291
0.079167	0.010	-0.035123
0.079333	0.010	-0.058598
0.079500	0.010	-0.070271
0.079667	0.010	-0.075700
0.079833	0.010	-0.062507
0.080000	0.010	-0.060028
0.080167	0.010	-0.078913
0.080333	0.010	-0.080080
0.080500	0.010	-0.062496
0.080667	0.010	-0.042418
0.080833	0.010	-0.042205
0.081000	0.010	-0.065642
0.081167	0.010	-0.042895
0.081333	0.010	-0.057742
0.081500	0.010	-0.089907
0.081667	0.010	-0.078531
0.081833	0.010	-0.052016
0.082000	0.010	-0.046509
0.082167	0.010	-0.060917
0.082333	0.010	-0.073017
0.082500	0.010	-0.088034
0.082667	0.010	-0.071388
0.082833	0.010	-0.053234
0.083000	0.010	-0.067182
0.083167	0.010	-0.051318
0.083333	0.010	-0.073123
0.083500	0.010	-0.059960
0.083667	0.010	-0.074428
0.083833	0.010	-0.059148
0.084000	0.010	-0.061596
0.084167	0.010	-0.064309
0.084333	0.010	-0.051674
0.084500	0.010	-0.075773
0.084667	0.010	-0.081300
0.084833	0.010	-0.087044
0.085000	0.010	-0.089763
0.085167	0.010	-0.077486
0.085333	0.010	-0.057223
0.085500	0.010	-0.054611
0.085667	0.010	-0.067691
0.085833	0.010	-0.081308
0.086000	0.010	-0.052110
0.086167	0.010	-0.075740
0.086333	0.010	-0.078657
0.086500	0.010	-0.076760
0.086667	0.010	-0.067246
0.086833	0.010	-0.052640
0.087000	0.010	-0.059393
0.087167	0.010	-0.033095
0.087333	0.010	-0.038999
0.087500	0.010	-0.052618
0.087667	0.010	-0.074623
0.087833	0.010	-0.049250
0.088000	0.010	-0.060104
0.088167	0.010	-0.056487
0.088333	0.010	-0.039763
0.088500	0.010	-0.068279
0.088667	0.010	-0.067347
0.088833	0.010	-0.065026
0.089000	0.010	-0.076585
0.089167	0.010	-0.083079
0.089333	0.010	-0.075073
0.089500	0.010	-0.078544
0.089667	0.010	-0.067219
0.089833	0.010	-0.071789
0.090000	0.010	-0.080371
0.090167	0.010	-0.075722
0.090333	0.010	-0.058239
0.090500	0.010	-0.046318
0.090667	0.010	-0.065157
0.090833	0.010	-0.084529
0.091000	0.010	-0.062957
0.091167	0.010	-0.078805
0.091333	0.010	-0.102314
0.091500	0.010	-0.087932
0.091667	0.010	-0.057707
0.091833	0.010	-0.075231
0.092000	0.010	-0.049735
0.092167	0.010	-0.081124
0.092333	0.010	-0.059784
0.092500	0.010	-0.058264
0.092667	0.010	-0.061881
0.092833	0.010	-0.065860
0.093000	0.010	-0.052840
0.093167	0.010	-0.054935
0.093333	0.010	-0.050854
0.093500	0.010	-0.021093
0.093667	0.010	-0.043142
0.093833	0.010	-0.055934
0.094000	0.010	-0.086982
0.094167	0.010	-0.039069
0.094333	0.010	-0.056079
0.094500	0.010	-0.061065
0.094667	0.010	-0.049594
0.094833	0.010	-0.079325
0.095000	0.010	-0.091578
0.095167	0.010	-0.081395
0.095333	0.010	-0.073450
0.095500	0.010	-0.082161
0.095667	0.010	-0.079174
0.095833	0.010	-0.081798
0.096000	0.010	-0.069391
0.096167	0.010	-0.069793
0.096333	0.010	-0.066847
0.096500	0.010	-0.039898
0.096667	0.010	-0.032686
0.096833	0.010	-0.056559
0.097000	0.010	-0.077896
0.097167	0.010	-0.061901
0.097333	0.010	-0.072642
0.097500	0.010	-0.091035
0.097667	0.010	-0.084724
0.097833	0.010	-0.070618
0.098000	0.010	-0.052634
0.098167	0.010	-0.049318
0.098333	0.010	-0.044135
0.098500	0.010	-0.082924
0.098667	0.010	-0.091181
0.098833	0.010	-0.095750
0.099000	0.010	-0.049028
0.099167	0.010	-0.055952
0.099333	0.010	-0.065154
0.099500	0.010	-0.055340
0.099667	0.010	-0.018587
0.099833	0.010	-0.045440
0.100000	0.010	-0.050602
0.100167	0.010	-0.065147
0.100333	0.010	-0.067146
0.100500	0.010	-0.064584
0.100667	0.010	-0.050188
0.100833	0.010	-0.091749
0.101000	0.010	-0.058164
0.101167	0.010	-0.030868
0.101333	0.010	-0.077425
0.101500	0.010	-0.055725
0.101667	0.010	-0.082925
0.101833	0.010	-0.093722
0.102000	0.010	-0.051041
0.102167	0.010	-0.036239
0.102333	0.010	-0.042104
0.102500	0.010	-0.022864
0.102667	0.010	-0.038698
0.102833	0.010	-0.063227
0.103000	0.010	-0.075759
0.103167	0.010	-0.066230
0.103333	0.010	-0.075593
0.103500	0.010	-0.043029
0.103667	0.010	-0.047152
0.103833	0.010	-0.045020
0.104000	0.010	-0.061963
0.104167	0.010	-0.079710
0.104333	0.010	-0.050879
0.104500	0.010	-0.052744
0.104667	0.010	-0.077352
0.104833	0.010	-0.064161
0.105000	0.010	-0.089265
0.105167	0.010	-0.073661
0.105333	0.010	-0.039605
0.105500	0.010	-0.071642
0.105667	0.010	-0.064667
0.105833	0.010	-0.066357
0.106000	0.010	-0.079881
0.106167	0.010	-0.074796
0.106333	0.010	-0.057881
0.106500	0.010	-0.045183
0.106667	0.010	-0.059672
0.106833	0.010	-0.064053
0.107000	0.010	-0.048801
0.107167	0.010	-0.075327
0.107333	0.010	-0.039261
0.107500	0.010	-0.050191
0.107667	0.010	-0.041260
0.107833	0.010	-0.067727
0.108000	0.010	-0.070316
0.108167	0.010	-0.072155
0.108333	0.010	-0.082401
0.108500	0.010	-0.064750
0.108667	0.010	-0.041749
0.108833	0.010	-0.037813
0.109000	0.010	-0.067253
0.109167	0.010	-0.044353
0.109333	0.010	-0.065907
0.109500	0.010	-0.084142
0.109667	0.010	-0.075357
0.109833	0.010	-0.082055
0.110000	0.010	-0.055152
0.110167	0.010	-0.073943
0.110333	0.010	-0.064417
0.110500	0.010	-0.042539
0.110667	0.010	-0.093281
0.110833	0.010	-0.082002
0.111000	0.010	-0.087349
0.111167	0.010	-0.077642
0.111333	0.010	-0.051187
0.111500	0.010	-0.039330
0.111667	0.010	-0.045007
0.111833	0.010	-0.085531
0.112000	0.010	-0.068784
0.112167	0.010	-0.067791
0.112333	0.010	-0.099799
0.112500	0.010	-0.078997
0.112667	0.010	-0.059706
0.112833	0.010	-0.075075
0.113000	0.010	-0.069143
0.113167	0.010	-0.047936
0.113333	0.010	-0.057928
0.113500	0.010	-0.035308
0.113667	0.010	-0.070844
0.113833	0.010	-0.100770
0.114000	0.010	-0.062882
0.114167	0.010	-0.041430
0.114333	0.010	-0.052605
0.114500	0.010	-0.052470
0.114667	0.010	-0.053259
0.114833	0.010	-0.044956
0.115000	0.010	-0.055029
0.115167	0.010	-0.068987
0.115333	0.010	-0.060658
0.115500	0.010	-0.037695
0.115667	0.010	-0.031507
0.115833	0.010	-0.027617
0.116000	0.010	-0.069952
0.116167	0.010	-0.082290
0.116333	0.010	-0.059887
0.116500	0.010	-0.070965
0.116667	0.010	-0.098149
0.116833	0.010	-0.108983
0.117000	0.010	-0.072605
0.117167	0.010	-0.067356
0.117333	0.010	-0.079335
0.117500	0.010	-0.075228
0.117667	0.010	-0.075983
0.117833	0.010	-0.067666
0.118000	0.010	-0.092482
0.118167	0.010	-0.065523
0.118333	0.010	-0.061294
0.118500	0.010	-0.052146
0.118667	0.010	-0.060471
0.118833	0.010	-0.082136
0.119000	0.010	-0.112138
0.119167	0.010	-0.047594
0.119333	0.010	-0.060809
0.119500	0.010	-0.060358
0.119667	0.010	-0.045767
0.119833	0.010	-0.041297
0.120000	0.010	-0.032851
0.120167	0.010	-0.028555
0.120333	0.010	-0.051377
0.120500	0.010	-0.057908
0.120667	0.010	-0.060077
0.120833	0.010	-0.047876
0.121000	0.010	-0.051483
0.121167	0.010	-0.058087
0.121333	0.010	-0.041709
0.121500	0.010	-0.057182
0.121667	0.010	-0.051786
0.121833	0.010	-0.086873
0.122000	0.010	-0.044147
0.122167	0.010	-0.032573
0.122333	0.010	-0.070012
0.122500	0.010	-0.074518
0.122667	0.010	-0.044035
0.122833	0.010	-0.074191
0.123000	0.010	-0.072992
0.123167	0.010	-0.052193
0.123333	0.010	-0.073681
0.123500	0.010	-0.059001
0.123667	0.010	-0.056052
0.123833	0.010	-0.065734
0.124000	0.010	-0.066998
0.124167	0.010	-0.067951
0.124333	0.010	-0.075094
0.124500	0.010	-0.068796
0.124667	0.010	-0.072030
0.124833	0.010	-0.070137
0.125000	0.010	-0.055502
0.125167	0.010	-0.063890
0.125333	0.010	-0.059068
0.125500	0.010	-0.056840
0.125667	0.010	-0.051682
0.125833	0.010	-0.077470
0.126000	0.010	-0.072546
0.126167	0.010	-0.067955
0.126333	0.010	-0.051609
0.126500	0.010	-0.080780
0.126667	0.010	-0.055716
0.126833	0.010	-0.065007
0.127000	0.010	-0.054252
0.127167	0.010	-0.071813
0.127333	0.010	-0.065677
0.127500	0.010	-0.094692
0.127667	0.010	-0.073568
0.127833	0.010	-0.093576
0.128000	0.010	-0.092335
0.128167	0.010	-0.087875
0.128333	0.010	-0.052645
0.128500	0.010	-0.038586
0.128667	0.010	-0.042055
0.128833	0.010	-0.073687
0.129000	0.010	-0.081017
0.129167	0.010	-0.051807
0.129333	0.010	-0.057829
0.129500	0.010	-0.052914
0.129667	0.010	-0.055947
0.129833	0.010	-0.048709
0.130000	0.010	-0.055055
0.130167	0.010	-0.080852
0.130333	0.010	-0.072278
0.130500	0.010	-0.042126
0.130667	0.010	-0.036864
0.130833	0.010	-0.035424
0.131000	0.010	-0.038274
0.131167	0.010	-0.054842
0.131333	0.010	-0.066410
0.131500	0.010	-0.083915
0.131667	0.010	-0.077263
0.131833	0.010	-0.066307
0.132000	0.010	-0.076161
0.132167	0.010	-0.062664
0.132333	0.010	-0.048507
0.132500	0.010	-0.072124
0.132667	0.010	-0.046514
0.132833	0.010	-0.047106
0.133000	0.010	-0.065721
0.133167	0.010	-0.064098
0.133333	0.010	-0.087455
0.133500	0.010	-0.055098
0.133667	0.010	-0.059303
0.133833	0.010	-0.051680
0.134000	0.010	-0.068200
0.134167	0.010	-0.037055
0.134333	0.010	-0.046293
0.134500	0.010	-0.036583
0.134667	0.010	-0.060792
0.134833	0.010	-0.088381
0.135000	0.010	-0.049345
0.135167	0.010	-0.043211
0.135333	0.010	-0.071560
0.135500	0.010	-0.087045
0.135667	0.010	-0.067659
0.135833	0.010	-0.066767
0.136000	0.010	-0.082822
0.136167	0.010	-0.079952
0.136333	0.010	-0.076076
