File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/185.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Unknown-run3
Injection Number	6
Position	7
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Unspiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:13:48 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.622177
Signal Max.	172.916323
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	-1.411717
0.000167	0.010	-1.400759
0.000333	0.010	-1.398187
0.000667	0.020	-1.382194
0.000833	0.010	-1.373216
0.001000	0.010	-1.367814
0.001167	0.010	-1.390050
0.001333	0.010	-1.377401
0.001500	0.010	-1.399311
0.001667	0.010	-1.401350
0.001833	0.010	-1.395127
0.002000	0.010	-1.384050
0.002167	0.010	-1.367230
0.002333	0.010	-1.368865
0.002500	0.010	-1.369931
0.002667	0.010	-1.376536
0.002833	0.010	-1.380216
0.003000	0.010	-1.393702
0.003167	0.010	-1.379265
0.003333	0.010	-1.357469
0.003500	0.010	-1.374517
0.003667	0.010	-1.377561
0.003833	0.010	-1.385717
0.004000	0.010	-1.380810
0.004167	0.010	-1.413687
0.004333	0.010	-1.398711
0.004500	0.010	-1.368191
0.004667	0.010	-1.390745
0.004833	0.010	-1.406039
0.005000	0.010	-1.405004
0.005167	0.010	-1.388422
0.005333	0.010	-1.386565
0.005500	0.010	-1.360681
0.005667	0.010	-1.362169
0.005833	0.010	-1.366212
0.006000	0.010	-1.389235
0.006167	0.010	-1.377935
0.006333	0.010	-1.418101
0.006500	0.010	-1.422053
0.006667	0.010	-1.396245
0.006833	0.010	-1.420965
0.007000	0.010	-1.428471
0.007167	0.010	-1.402708
0.007333	0.010	-1.358811
0.007500	0.010	-1.339318
0.007667	0.010	-1.381871
0.007833	0.010	-1.378980
0.008000	0.010	-1.414589
0.008167	0.010	-1.378567
0.008333	0.010	-1.378433
0.008500	0.010	-1.394387
0.008667	0.010	-1.368168
0.008833	0.010	-1.387538
0.009000	0.010	-1.386458
0.009167	0.010	-1.383719
0.009333	0.010	-1.384227
0.009500	0.010	-1.358816
0.009667	0.010	-1.381537
0.009833	0.010	-1.391253
0.010000	0.010	-1.393405
0.010167	0.010	-1.380517
0.010333	0.010	-1.397110
0.010500	0.010	-1.404441
0.010667	0.010	-1.395343
0.010833	0.010	-1.401895
0.011000	0.010	-1.403973
0.011167	0.010	-1.387539
0.011333	0.010	-1.361993
0.011500	0.010	-1.393915
0.011667	0.010	-1.382477
0.011833	0.010	-1.360287
0.012000	0.010	-1.358601
0.012167	0.010	-1.367622
0.012333	0.010	-1.396520
0.012500	0.010	-1.403454
0.012667	0.010	-1.414719
0.012833	0.010	-1.382869
0.013000	0.010	-1.382889
0.013167	0.010	-1.371425
0.013333	0.010	-1.403466
0.013500	0.010	-1.379558
0.013667	0.010	-1.367430
0.013833	0.010	-1.391581
