File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/404.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Unknown-run2
Injection Number	5
Position	6
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Unspiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:03:36 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.302696
Signal Max.	174.251190
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.025333	0.010	-1.214782
0.025500	0.010	-1.224853
0.025667	0.010	-1.254878
0.025833	0.010	-1.243667
0.026000	0.010	-1.233083
0.026167	0.010	-1.207881
0.026333	0.010	-1.207436
0.026500	0.010	-1.235562
0.026667	0.010	-1.226210
0.026833	0.010	-1.213871
0.027000	0.010	-1.204062
0.027167	0.010	-1.240713
0.027333	0.010	-1.258629
0.027500	0.010	-1.227279
0.027667	0.010	-1.245798
0.027833	0.010	-1.243254
0.028000	0.010	-1.227898
0.028167	0.010	-1.236864
0.028333	0.010	-1.223383
0.028500	0.010	-1.215270
0.028667	0.010	-1.240538
0.028833	0.010	-1.235157
0.029000	0.010	-1.208430
0.029167	0.010	-1.244724
0.029333	0.010	-1.231123
0.029500	0.010	-1.223165
0.029667	0.010	-1.222809
0.029833	0.010	-1.228258
0.030000	0.010	-1.225580
0.030167	0.010	-1.233187
0.030333	0.010	-1.219200
0.030500	0.010	-1.226132
0.030667	0.010	-1.237667
0.030833	0.010	-1.253830
0.031000	0.010	-1.207775
0.031167	0.010	-1.217816
0.031333	0.010	-1.224683
0.031500	0.010	-1.214448
0.031667	0.010	-1.244504
0.031833	0.010	-1.259095
0.032000	0.010	-1.240120
0.032167	0.010	-1.220516
0.032333	0.010	-1.224510
0.032500	0.010	-1.224923
0.032667	0.010	-1.242480
0.032833	0.010	-1.214282
0.033000	0.010	-1.224801
0.033167	0.010	-1.243067
0.033333	0.010	-1.230361
0.033500	0.010	-1.236238
0.033667	0.010	-1.242783
0.033833	0.010	-1.248337
0.034000	0.010	-1.245830
0.034167	0.010	-1.240458
0.034333	0.010	-1.235039
0.034500	0.010	-1.219405
0.034667	0.010	-1.218464
0.034833	0.010	-1.226578
0.035000	0.010	-1.241128
0.035167	0.010	-1.274588
0.035333	0.010	-1.256140
0.035500	0.010	-1.236974
0.035667	0.010	-1.247592
0.035833	0.010	-1.217269
0.036000	0.010	-1.233092
0.036167	0.010	-1.234673
0.036333	0.010	-1.247149
0.036500	0.010	-1.231245
0.036667	0.010	-1.203855
0.036833	0.010	-1.244905
0.037000	0.010	-1.262661
0.037167	0.010	-1.263386
0.037333	0.010	-1.273960
0.037500	0.010	-1.250447
0.037667	0.010	-1.255409
0.037833	0.010	-1.235891
0.038000	0.010	-1.251279
0.038167	0.010	-1.264542
0.038333	0.010	-1.257669
0.038500	0.010	-1.240016
0.038667	0.010	-1.224029
0.038833	0.010	-1.230485
0.039000	0.010	-1.248888
0.039167	0.010	-1.224244
0.039333	0.010	-1.215271
0.039500	0.010	-1.214206
0.039667	0.010	-1.230664
0.039833	0.010	-1.242987
0.040000	0.010	-1.302696
0.040167	0.010	-1.281077
0.040333	0.010	-1.269054
0.040500	0.010	-1.249703
0.040667	0.010	-1.202671
0.040833	0.010	-1.217852
0.041000	0.010	-1.245135
0.041167	0.010	-1.223793
0.041333	0.010	-1.219316
0.041500	0.010	-1.222749
0.041667	0.010	-1.229887
0.041833	0.010	-1.237520
0.042000	0.010	-1.243938
0.042167	0.010	-1.258891
0.042333	0.010	-1.264458
0.042500	0.010	-1.220627
0.042667	0.010	-1.230702
0.042833	0.010	-1.274296
0.043000	0.010	-1.234604
0.043167	0.010	-1.250844
0.043333	0.010	-1.241581
0.043500	0.010	-1.246759
0.043667	0.010	-1.271350
0.043833	0.010	-1.276782
0.044000	0.010	-1.255564
0.044167	0.010	-1.270088
0.044333	0.010	-1.256729
0.044500	0.010	-1.277504
0.044667	0.010	-1.252361
0.044833	0.010	-1.218245
0.045000	0.010	-1.256455
0.045167	0.010	-1.284001
0.045333	0.010	-1.284268
0.045500	0.010	-1.226899
0.045667	0.010	-1.242074
0.045833	0.010	-1.249476
0.046000	0.010	-1.250357
0.046167	0.010	-1.272023
0.046333	0.010	-1.251343
0.046500	0.010	-1.244176
0.046667	0.010	-1.235083
0.046833	0.010	-1.251151
0.047000	0.010	-1.235013
0.047167	0.010	-1.228640
0.047333	0.010	-1.225704
0.047500	0.010	-1.221925
0.047667	0.010	-1.207521
0.047833	0.010	-1.235224
0.048000	0.010	-1.240604
0.048167	0.010	-1.247099
0.048333	0.010	-1.219433
0.048500	0.010	-1.241972
0.048667	0.010	-1.224382
0.048833	0.010	-1.246235
0.049000	0.010	-1.219575
0.049167	0.010	-1.232955
0.049333	0.010	-1.218624
0.049500	0.010	-1.235892
0.049667	0.010	-1.223002
0.049833	0.010	-1.197894
0.050000	0.010	-1.227050
0.050167	0.010	-1.244809
0.050333	0.010	-1.221913
0.050500	0.010	-1.255338
0.050667	0.010	-1.228868
0.050833	0.010	-1.226900
0.051000	0.010	-1.220067
0.051167	0.010	-1.233934
0.051333	0.010	-1.235038
0.051500	0.010	-1.230098
0.051667	0.010	-1.221849
0.051833	0.010	-1.211686
0.052000	0.010	-1.247544
0.052167	0.010	-1.253799
0.052333	0.010	-1.210182
0.052500	0.010	-1.212386
0.052667	0.010	-1.246110
0.052833	0.010	-1.237911
0.053000	0.010	-1.258176
0.053167	0.010	-1.267539
0.053333	0.010	-1.232640
0.053500	0.010	-1.245293
0.053667	0.010	-1.259396
0.053833	0.010	-1.277899
0.054000	0.010	-1.269535
0.054167	0.010	-1.259074
0.054333	0.010	-1.265261
0.054500	0.010	-1.263153
0.054667	0.010	-1.270036
0.054833	0.010	-1.248143
0.055000	0.010	-1.239950
0.055167	0.010	-1.219512
0.055333	0.010	-1.255101
0.055500	0.010	-1.264674
0.055667	0.010	-1.270739
0.055833	0.010	-1.268676
0.056000	0.010	-1.266417
0.056167	0.010	-1.226898
0.056333	0.010	-1.221679
0.056500	0.010	-1.265496
0.056667	0.010	-1.262074
0.056833	0.010	-1.257528
0.057000	0.010	-1.265687
0.057167	0.010	-1.268218
0.057333	0.010	-1.290977
0.057500	0.010	-1.266738
0.057667	0.010	-1.282284
0.057833	0.010	-1.249142
0.058000	0.010	-1.253646
0.058167	0.010	-1.245093
0.058333	0.010	-1.250065
0.058500	0.010	-1.241159
0.058667	0.010	-1.245936
0.058833	0.010	-1.250473
0.059000	0.010	-1.268515
0.059167	0.010	-1.240738
0.059333	0.010	-1.234230
0.059500	0.010	-1.241910
0.059667	0.010	-1.224935
0.059833	0.010	-1.249868
0.060000	0.010	-1.214451
0.060167	0.010	-1.235052
0.060333	0.010	-1.230869
0.060500	0.010	-1.218626
0.060667	0.010	-1.224744
0.060833	0.010	-1.248047
0.061000	0.010	-1.260635
0.061167	0.010	-1.248297
0.061333	0.010	-1.238695
0.061500	0.010	-1.245339
0.061667	0.010	-1.230417
0.061833	0.010	-1.241226
0.062000	0.010	-1.251859
0.062167	0.010	-1.224770
0.062333	0.010	-1.225968
0.062500	0.010	-1.232424
0.062667	0.010	-1.264522
0.062833	0.010	-1.231246
0.063000	0.010	-1.207889
0.063167	0.010	-1.220843
0.063333	0.010	-1.229349
0.063500	0.010	-1.216043
0.063667	0.010	-1.237273
0.063833	0.010	-1.209867
0.064000	0.010	-1.252772
0.064167	0.010	-1.243433
0.064333	0.010	-1.235134
0.064500	0.010	-1.239800
0.064667	0.010	-1.233182
0.064833	0.010	-1.252437
0.065000	0.010	-1.258943
0.065167	0.010	-1.264731
0.065333	0.010	-1.268650
0.065500	0.010	-1.239659
0.065667	0.010	-1.257240
0.065833	0.010	-1.229694
0.066000	0.010	-1.249559
0.066167	0.010	-1.240898
0.066333	0.010	-1.235621
0.066500	0.010	-1.229960
0.066667	0.010	-1.253873
0.066833	0.010	-1.259941
0.067000	0.010	-1.260883
0.067167	0.010	-1.222279
0.067333	0.010	-1.215307
0.067500	0.010	-1.237843
0.067667	0.010	-1.236862
0.067833	0.010	-1.218893
0.068000	0.010	-1.192715
0.068167	0.010	-1.225481
0.068333	0.010	-1.257862
0.068500	0.010	-1.283639
0.068667	0.010	-1.249607
0.068833	0.010	-1.198100
0.069000	0.010	-1.229600
0.069167	0.010	-1.235450
0.069333	0.010	-1.249557
0.069500	0.010	-1.245861
0.069667	0.010	-1.270625
0.069833	0.010	-1.263705
0.070000	0.010	-1.264813
0.070167	0.010	-1.251809
0.070333	0.010	-1.263160
0.070500	0.010	-1.286193
0.070667	0.010	-1.251564
0.070833	0.010	-1.251946
0.071000	0.010	-1.219968
0.071167	0.010	-1.208531
0.071333	0.010	-1.236079
0.071500	0.010	-1.236944
0.071667	0.010	-1.251320
0.071833	0.010	-1.266631
0.072000	0.010	-1.215282
0.072167	0.010	-1.252206
0.072333	0.010	-1.251419
0.072500	0.010	-1.245223
0.072667	0.010	-1.207468
0.072833	0.010	-1.254829
0.073000	0.010	-1.239381
0.073167	0.010	-1.268310
0.073333	0.010	-1.255150
0.073500	0.010	-1.246371
0.073667	0.010	-1.251135
0.073833	0.010	-1.261296
0.074000	0.010	-1.256092
0.074167	0.010	-1.258529
0.074333	0.010	-1.247714
0.074500	0.010	-1.242391
0.074667	0.010	-1.197591
0.074833	0.010	-1.195373
0.075000	0.010	-1.237910
0.075167	0.010	-1.257967
0.075333	0.010	-1.229452
0.075500	0.010	-1.231727
0.075667	0.010	-1.268125
0.075833	0.010	-1.254013
0.076000	0.010	-1.266064
0.076167	0.010	-1.243149
0.076333	0.010	-1.210166
0.076500	0.010	-1.241753
0.076667	0.010	-1.243192
0.076833	0.010	-1.233725
0.077000	0.010	-1.237533
0.077167	0.010	-1.217903
0.077333	0.010	-1.249481
0.077500	0.010	-1.282792
0.077667	0.010	-1.228801
0.077833	0.010	-1.197539
0.078000	0.010	-1.261066
0.078167	0.010	-1.242631
0.078333	0.010	-1.229531
0.078500	0.010	-1.226566
0.078667	0.010	-1.234464
0.078833	0.010	-1.243749
0.079000	0.010	-1.211110
0.079167	0.010	-1.239411
0.079333	0.010	-1.210755
0.079500	0.010	-1.225813
0.079667	0.010	-1.234985
0.079833	0.010	-1.260088
0.080000	0.010	-1.235896
0.080167	0.010	-1.233305
0.080333	0.010	-1.260720
0.080500	0.010	-1.243803
0.080667	0.010	-1.246279
0.080833	0.010	-1.260200
0.081000	0.010	-1.240476
0.081167	0.010	-1.244666
0.081333	0.010	-1.238647
0.081500	0.010	-1.227509
0.081667	0.010	-1.258785
0.081833	0.010	-1.214210
0.082000	0.010	-1.234947
0.082167	0.010	-1.245780
0.082333	0.010	-1.244427
0.082500	0.010	-1.209667
0.082667	0.010	-1.233654
0.082833	0.010	-1.221781
0.083000	0.010	-1.216146
0.083167	0.010	-1.230368
0.083333	0.010	-1.220043
0.083500	0.010	-1.212764
0.083667	0.010	-1.247039
0.083833	0.010	-1.219531
0.084000	0.010	-1.234591
0.084167	0.010	-1.254704
0.084333	0.010	-1.226421
0.084500	0.010	-1.223684
0.084667	0.010	-1.232446
0.084833	0.010	-1.237576
0.085000	0.010	-1.241627
0.085167	0.010	-1.229610
0.085333	0.010	-1.211667
0.085500	0.010	-1.219217
0.085667	0.010	-1.210915
0.085833	0.010	-1.242037
0.086000	0.010	-1.238519
0.086167	0.010	-1.263403
0.086333	0.010	-1.289648
0.086500	0.010	-1.268539
0.086667	0.010	-1.248340
0.086833	0.010	-1.219848
0.087000	0.010	-1.239817
0.087167	0.010	-1.209401
0.087333	0.010	-1.200133
0.087500	0.010	-1.246637
0.087667	0.010	-1.229327
0.087833	0.010	-1.252666
0.088000	0.010	-1.233685
0.088167	0.010	-1.242479
0.088333	0.010	-1.229465
0.088500	0.010	-1.249376
0.088667	0.010	-1.221147
0.088833	0.010	-1.241827
0.089000	0.010	-1.253983
0.089167	0.010	-1.264021
0.089333	0.010	-1.242261
0.089500	0.010	-1.257272
0.089667	0.010	-1.270358
0.089833	0.010	-1.267621
0.090000	0.010	-1.272575
0.090167	0.010	-1.233939
0.090333	0.010	-1.226435
0.090500	0.010	-1.243860
0.090667	0.010	-1.269367
0.090833	0.010	-1.251161
0.091000	0.010	-1.252827
0.091167	0.010	-1.248296
0.091333	0.010	-1.261841
0.091500	0.010	-1.271927
0.091667	0.010	-1.274530
0.091833	0.010	-1.252041
0.092000	0.010	-1.248678
0.092167	0.010	-1.236026
0.092333	0.010	-1.216193
0.092500	0.010	-1.206808
0.092667	0.010	-1.239737
0.092833	0.010	-1.227259
0.093000	0.010	-1.194283
0.093167	0.010	-1.205892
0.093333	0.010	-1.230234
0.093500	0.010	-1.247764
0.093667	0.010	-1.244400
0.093833	0.010	-1.207234
0.094000	0.010	-1.229704
0.094167	0.010	-1.211625
0.094333	0.010	-1.232768
0.094500	0.010	-1.222368
0.094667	0.010	-1.240953
0.094833	0.010	-1.228677
0.095000	0.010	-1.221563
0.095167	0.010	-1.225173
0.095333	0.010	-1.254461
0.095500	0.010	-1.246421
0.095667	0.010	-1.260818
0.095833	0.010	-1.238924
0.096000	0.010	-1.235137
0.096167	0.010	-1.217378
0.096333	0.010	-1.206517
0.096500	0.010	-1.251789
0.096667	0.010	-1.257423
0.096833	0.010	-1.223465
0.097000	0.010	-1.276866
0.097167	0.010	-1.241017
0.097333	0.010	-1.248293
0.097500	0.010	-1.237679
0.097667	0.010	-1.237764
0.097833	0.010	-1.231947
0.098000	0.010	-1.251469
0.098167	0.010	-1.249652
0.098333	0.010	-1.249419
0.098500	0.010	-1.241477
0.098667	0.010	-1.242557
0.098833	0.010	-1.244722
0.099000	0.010	-1.222724
0.099167	0.010	-1.189974
0.099333	0.010	-1.213822
0.099500	0.010	-1.209377
0.099667	0.010	-1.241160
0.099833	0.010	-1.223762
0.100000	0.010	-1.233885
0.100167	0.010	-1.246973
0.100333	0.010	-1.230653
0.100500	0.010	-1.256593
0.100667	0.010	-1.252726
0.100833	0.010	-1.234683
0.101000	0.010	-1.251685
0.101167	0.010	-1.275061
0.101333	0.010	-1.292685
0.101500	0.010	-1.244292
0.101667	0.010	-1.224915
0.101833	0.010	-1.190803
0.102000	0.010	-1.213026
0.102167	0.010	-1.259400
0.102333	0.010	-1.233095
0.102500	0.010	-1.242181
0.102667	0.010	-1.253331
0.102833	0.010	-1.239270
0.103000	0.010	-1.258850
0.103167	0.010	-1.235897
0.103333	0.010	-1.228052
0.103500	0.010	-1.235234
0.103667	0.010	-1.235437
0.103833	0.010	-1.262231
0.104000	0.010	-1.236353
0.104167	0.010	-1.236381
0.104333	0.010	-1.222408
0.104500	0.010	-1.247115
0.104667	0.010	-1.229203
0.104833	0.010	-1.234928
0.105000	0.010	-1.239877
0.105167	0.010	-1.209261
0.105333	0.010	-1.247296
0.105500	0.010	-1.228724
0.105667	0.010	-1.244688
0.105833	0.010	-1.226576
0.106000	0.010	-1.224042
0.106167	0.010	-1.235994
0.106333	0.010	-1.229790
0.106500	0.010	-1.232389
0.106667	0.010	-1.245309
0.106833	0.010	-1.268300
0.107000	0.010	-1.239673
0.107167	0.010	-1.219432
0.107333	0.010	-1.223648
0.107500	0.010	-1.255925
0.107667	0.010	-1.254523
0.107833	0.010	-1.226817
0.108000	0.010	-1.246362
0.108167	0.010	-1.230263
0.108333	0.010	-1.221487
0.108500	0.010	-1.228573
0.108667	0.010	-1.259039
0.108833	0.010	-1.246922
0.109000	0.010	-1.250053
0.109167	0.010	-1.255654
0.109333	0.010	-1.234900
0.109500	0.010	-1.229231
0.109667	0.010	-1.236345
0.109833	0.010	-1.218152
0.110000	0.010	-1.245905
0.110167	0.010	-1.250917
0.110333	0.010	-1.233856
0.110500	0.010	-1.214733
0.110667	0.010	-1.189252
0.110833	0.010	-1.242756
0.111000	0.010	-1.235397
0.111167	0.010	-1.239915
0.111333	0.010	-1.234121
0.111500	0.010	-1.245936
0.111667	0.010	-1.253017
0.111833	0.010	-1.249227
0.112000	0.010	-1.251138
0.112167	0.010	-1.249341
0.112333	0.010	-1.238342
0.112500	0.010	-1.238343
0.112667	0.010	-1.239748
0.112833	0.010	-1.223664
0.113000	0.010	-1.242448
0.113167	0.010	-1.268419
0.113333	0.010	-1.271226
0.113500	0.010	-1.258280
0.113667	0.010	-1.242061
0.113833	0.010	-1.250485
0.114000	0.010	-1.244900
0.114167	0.010	-1.253165
0.114333	0.010	-1.204941
0.114500	0.010	-1.230503
0.114667	0.010	-1.223287
0.114833	0.010	-1.254407
0.115000	0.010	-1.210487
0.115167	0.010	-1.224641
0.115333	0.010	-1.255968
0.115500	0.010	-1.288029
0.115667	0.010	-1.247399
0.115833	0.010	-1.255265
0.116000	0.010	-1.257961
0.116167	0.010	-1.270880
0.116333	0.010	-1.225569
0.116500	0.010	-1.238952
0.116667	0.010	-1.225097
0.116833	0.010	-1.225179
0.117000	0.010	-1.248194
0.117167	0.010	-1.266204
0.117333	0.010	-1.257336
0.117500	0.010	-1.253689
0.117667	0.010	-1.258166
0.117833	0.010	-1.254217
0.118000	0.010	-1.265819
0.118167	0.010	-1.271111
0.118333	0.010	-1.242300
0.118500	0.010	-1.223119
0.118667	0.010	-1.247549
0.118833	0.010	-1.252787
0.119000	0.010	-1.265447
0.119167	0.010	-1.246190
0.119333	0.010	-1.215728
0.119500	0.010	-1.263161
0.119667	0.010	-1.260669
0.119833	0.010	-1.274976
0.120000	0.010	-1.250082
0.120167	0.010	-1.254137
0.120333	0.010	-1.249714
0.120500	0.010	-1.264154
0.120667	0.010	-1.236939
0.120833	0.010	-1.243087
0.121000	0.010	-1.255254
0.121167	0.010	-1.261946
0.121333	0.010	-1.242290
0.121500	0.010	-1.251989
0.121667	0.010	-1.279600
0.121833	0.010	-1.254078
0.122000	0.010	-1.266773
0.122167	0.010	-1.233362
0.122333	0.010	-1.221345
0.122500	0.010	-1.240550
0.122667	0.010	-1.224220
0.122833	0.010	-1.209407
0.123000	0.010	-1.214119
0.123167	0.010	-1.237660
0.123333	0.010	-1.236699
0.123500	0.010	-1.234669
0.123667	0.010	-1.240571
0.123833	0.010	-1.260264
0.124000	0.010	-1.238724
0.124167	0.010	-1.239914
0.124333	0.010	-1.217034
0.124500	0.010	-1.227819
0.124667	0.010	-1.231491
0.124833	0.010	-1.208327
0.125000	0.010	-1.196315
0.125167	0.010	-1.227851
0.125333	0.010	-1.256515
0.125500	0.010	-1.257157
0.125667	0.010	-1.250178
0.125833	0.010	-1.239595
0.126000	0.010	-1.209511
0.126167	0.010	-1.253549
0.126333	0.010	-1.236571
0.126500	0.010	-1.280531
0.126667	0.010	-1.258599
0.126833	0.010	-1.252417
0.127000	0.010	-1.213905
0.127167	0.010	-1.210096
0.127333	0.010	-1.227098
0.127500	0.010	-1.269672
0.127667	0.010	-1.253031
0.127833	0.010	-1.235830
0.128000	0.010	-1.256340
0.128167	0.010	-1.228207
0.128333	0.010	-1.258240
0.128500	0.010	-1.241279
0.128667	0.010	-1.250951
0.128833	0.010	-1.231285
0.129000	0.010	-1.250848
0.129167	0.010	-1.247727
0.129333	0.010	-1.243536
0.129500	0.010	-1.271561
0.129667	0.010	-1.235711
0.129833	0.010	-1.252174
0.130000	0.010	-1.220459
0.130167	0.010	-1.259878
0.130333	0.010	-1.243686
0.130500	0.010	-1.239235
0.130667	0.010	-1.212106
0.130833	0.010	-1.268370
0.131000	0.010	-1.227313
0.131167	0.010	-1.231437
0.131333	0.010	-1.239890
0.131500	0.010	-1.240213
0.131667	0.010	-1.219833
0.131833	0.010	-1.215175
0.132000	0.010	-1.235366
0.132167	0.010	-1.228835
0.132333	0.010	-1.243972
0.132500	0.010	-1.224942
0.132667	0.010	-1.246479
0.132833	0.010	-1.244689
0.133000	0.010	-1.239796
0.133167	0.010	-1.227533
0.133333	0.010	-1.240139
0.133500	0.010	-1.260924
0.133667	0.010	-1.227138
0.133833	0.010	-1.215164
0.134000	0.010	-1.226798
0.134167	0.010	-1.193235
0.134333	0.010	-1.214723
0.134500	0.010	-1.225035
0.134667	0.010	-1.210051
0.134833	0.010	-1.241105
0.135000	0.010	-1.231038
0.135167	0.010	-1.233057
0.135333	0.010	-1.221812
0.135500	0.010	-1.255002
0.135667	0.010	-1.248477
0.135833	0.010	-1.227582
0.136000	0.010	-1.216888
0.136167	0.010	-1.238738
0.136333	0.010	-1.261886
0.136500	0.010	-1.258502
0.136667	0.010	-1.258395
0.136833	0.010	-1.251398
0.137000	0.010	-1.234871
0.137167	0.010	-1.239353
0.137333	0.010	-1.228706
0.137500	0.010	-1.258290
0.137667	0.010	-1.228869
0.137833	0.010	-1.254969
0.138000	0.010	-1.259529
0.138167	0.010	-1.229158
0.138333	0.010	-1.242333
0.138500	0.010	-1.265144
0.138667	0.010	-1.230337
0.138833	0.010	-1.214858
0.139000	0.010	-1.200891
0.139167	0.010	-1.225517
0.139333	0.010	-1.210385
0.139500	0.010	-1.237317
0.139667	0.010	-1.225318
0.139833	0.010	-1.236341
0.140000	0.010	-1.246261
0.140167	0.010	-1.244678
0.140333	0.010	-1.232116
0.140500	0.010	-1.254726
0.140667	0.010	-1.225500
0.140833	0.010	-1.253463
0.141000	0.010	-1.241539
0.141167	0.010	-1.223843
0.141333	0.010	-1.221283
0.141500	0.010	-1.209062
0.141667	0.010	-1.214900
0.141833	0.010	-1.223973
0.142000	0.010	-1.230419
0.142167	0.010	-1.217521
0.142333	0.010	-1.226459
0.142500	0.010	-1.211352
0.142667	0.010	-1.230355
0.142833	0.010	-1.229575
0.143000	0.010	-1.231448
0.143167	0.010	-1.245024
0.143333	0.010	-1.211622
0.143500	0.010	-1.230513
