File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/482.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Unknown-run1
Injection Number	4
Position	5
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Unspiked
Status	Finished
Injection Date	11/1/2016
Injection Time	9:53:19 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.173808
Signal Max.	174.245007
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	-0.062670
0.000167	0.010	-0.063252
0.000333	0.010	-0.088503
0.000667	0.020	-0.060968
0.000833	0.010	-0.062998
0.001000	0.010	-0.077562
0.001167	0.010	-0.112100
0.001333	0.010	-0.086825
0.001500	0.010	-0.078469
0.001667	0.010	-0.081435
0.001833	0.010	-0.139496
0.002000	0.010	-0.114909
0.002167	0.010	-0.133056
0.002333	0.010	-0.122940
0.002500	0.010	-0.120148
0.002667	0.010	-0.114121
0.002833	0.010	-0.077321
0.003000	0.010	-0.078175
0.003167	0.010	-0.097484
0.003333	0.010	-0.074457
0.003500	0.010	-0.085353
0.003667	0.010	-0.099668
0.003833	0.010	-0.098314
0.004000	0.010	-0.078072
0.004167	0.010	-0.106886
0.004333	0.010	-0.090980
0.004500	0.010	-0.106702
0.004667	0.010	-0.099677
0.004833	0.010	-0.101616
0.005000	0.010	-0.087172
0.005167	0.010	-0.083259
0.005333	0.010	-0.087529
0.005500	0.010	-0.067502
0.005667	0.010	-0.082508
0.005833	0.010	-0.093396
0.006000	0.010	-0.135470
0.006167	0.010	-0.112583
0.006333	0.010	-0.089531
0.006500	0.010	-0.078578
0.006667	0.010	-0.095921
0.006833	0.010	-0.088041
0.007000	0.010	-0.094865
0.007167	0.010	-0.114185
0.007333	0.010	-0.079801
0.007500	0.010	-0.080946
0.007667	0.010	-0.071504
0.007833	0.010	-0.085940
0.008000	0.010	-0.088739
0.008167	0.010	-0.082695
0.008333	0.010	-0.070438
0.008500	0.010	-0.117338
0.008667	0.010	-0.098062
0.008833	0.010	-0.105325
0.009000	0.010	-0.086914
0.009167	0.010	-0.103778
0.009333	0.010	-0.102463
0.009500	0.010	-0.082195
0.009667	0.010	-0.104134
0.009833	0.010	-0.092678
0.010000	0.010	-0.098308
0.010167	0.010	-0.100710
0.010333	0.010	-0.075506
0.010500	0.010	-0.081664
0.010667	0.010	-0.098557
0.010833	0.010	-0.096093
0.011000	0.010	-0.101929
0.011167	0.010	-0.112888
0.011333	0.010	-0.119610
0.011500	0.010	-0.096686
0.011667	0.010	-0.098445
0.011833	0.010	-0.077238
0.012000	0.010	-0.067978
0.012167	0.010	-0.090025
0.012333	0.010	-0.096530
0.012500	0.010	-0.089152
0.012667	0.010	-0.087594
0.012833	0.010	-0.089325
0.013000	0.010	-0.102020
0.013167	0.010	-0.107537
0.013333	0.010	-0.105922
0.013500	0.010	-0.115337
0.013667	0.010	-0.112699
0.013833	0.010	-0.130491
0.014000	0.010	-0.113270
0.014167	0.010	-0.081097
0.014333	0.010	-0.082533
0.014500	0.010	-0.083783
0.014667	0.010	-0.111775
0.014833	0.010	-0.079468
0.015000	0.010	-0.102324
0.015167	0.010	-0.125893
0.015333	0.010	-0.112251
0.015500	0.010	-0.108375
0.015667	0.010	-0.113552
0.015833	0.010	-0.112504
0.016000	0.010	-0.098994
0.016167	0.010	-0.120748
0.016333	0.010	-0.112422
0.016500	0.010	-0.082290
0.016667	0.010	-0.082072
0.016833	0.010	-0.088884
0.017000	0.010	-0.100312
0.017167	0.010	-0.118201
0.017333	0.010	-0.102582
0.017500	0.010	-0.115845
0.017667	0.010	-0.113634
0.017833	0.010	-0.117217
0.018000	0.010	-0.089675
0.018167	0.010	-0.097091
0.018333	0.010	-0.096037
0.018500	0.010	-0.098744
0.018667	0.010	-0.057891
0.018833	0.010	-0.078597
0.019000	0.010	-0.080511
0.019167	0.010	-0.081122
0.019333	0.010	-0.102865
0.019500	0.010	-0.117440
0.019667	0.010	-0.136295
0.019833	0.010	-0.092753
0.020000	0.010	-0.078999
0.020167	0.010	-0.078190
0.020333	0.010	-0.078104
0.020500	0.010	-0.063855
0.020667	0.010	-0.080879
0.020833	0.010	-0.073794
0.021000	0.010	-0.095491
0.021167	0.010	-0.105413
0.021333	0.010	-0.100766
0.021500	0.010	-0.075036
0.021667	0.010	-0.103652
0.021833	0.010	-0.098263
0.022000	0.010	-0.096590
0.022167	0.010	-0.096976
0.022333	0.010	-0.106994
0.022500	0.010	-0.111525
0.022667	0.010	-0.096206
0.022833	0.010	-0.112985
0.023000	0.010	-0.106641
0.023167	0.010	-0.066228
0.023333	0.010	-0.101473
0.023500	0.010	-0.116879
0.023667	0.010	-0.083777
0.023833	0.010	-0.117566
0.024000	0.010	-0.118793
0.024167	0.010	-0.108407
0.024333	0.010	-0.087584
0.024500	0.010	-0.073409
0.024667	0.010	-0.096171
0.024833	0.010	-0.106108
0.025000	0.010	-0.100891
0.025167	0.010	-0.123310
0.025333	0.010	-0.112733
0.025500	0.010	-0.099625
0.025667	0.010	-0.098029
0.025833	0.010	-0.121487
0.026000	0.010	-0.099644
0.026167	0.010	-0.095453
0.026333	0.010	-0.140642
0.026500	0.010	-0.095665
0.026667	0.010	-0.080934
0.026833	0.010	-0.070836
0.027000	0.010	-0.090553
0.027167	0.010	-0.079022
0.027333	0.010	-0.069688
0.027500	0.010	-0.084039
0.027667	0.010	-0.083458
0.027833	0.010	-0.097063
0.028000	0.010	-0.123651
0.028167	0.010	-0.109450
0.028333	0.010	-0.097174
0.028500	0.010	-0.107302
0.028667	0.010	-0.112683
0.028833	0.010	-0.109006
0.029000	0.010	-0.100235
0.029167	0.010	-0.081183
0.029333	0.010	-0.097945
0.029500	0.010	-0.070467
0.029667	0.010	-0.091683
0.029833	0.010	-0.106741
0.030000	0.010	-0.067207
0.030167	0.010	-0.085097
0.030333	0.010	-0.075671
0.030500	0.010	-0.057762
0.030667	0.010	-0.079166
0.030833	0.010	-0.079735
0.031000	0.010	-0.070801
0.031167	0.010	-0.090892
0.031333	0.010	-0.084831
0.031500	0.010	-0.096503
0.031667	0.010	-0.101929
0.031833	0.010	-0.106070
0.032000	0.010	-0.103592
0.032167	0.010	-0.100599
0.032333	0.010	-0.117257
0.032500	0.010	-0.129576
0.032667	0.010	-0.117106
0.032833	0.010	-0.104110
0.033000	0.010	-0.094007
0.033167	0.010	-0.093761
0.033333	0.010	-0.071595
0.033500	0.010	-0.082637
0.033667	0.010	-0.084763
0.033833	0.010	-0.087336
0.034000	0.010	-0.101288
0.034167	0.010	-0.118447
0.034333	0.010	-0.101262
0.034500	0.010	-0.125520
0.034667	0.010	-0.104203
0.034833	0.010	-0.114812
0.035000	0.010	-0.119111
0.035167	0.010	-0.085461
0.035333	0.010	-0.070211
0.035500	0.010	-0.105252
0.035667	0.010	-0.090314
0.035833	0.010	-0.077850
0.036000	0.010	-0.091150
0.036167	0.010	-0.095104
0.036333	0.010	-0.105555
0.036500	0.010	-0.095968
0.036667	0.010	-0.082178
0.036833	0.010	-0.088620
0.037000	0.010	-0.083351
0.037167	0.010	-0.070458
0.037333	0.010	-0.076039
0.037500	0.010	-0.091254
0.037667	0.010	-0.097241
0.037833	0.010	-0.076406
0.038000	0.010	-0.079648
0.038167	0.010	-0.061536
0.038333	0.010	-0.086064
0.038500	0.010	-0.076180
0.038667	0.010	-0.095992
0.038833	0.010	-0.078757
0.039000	0.010	-0.072113
0.039167	0.010	-0.082060
0.039333	0.010	-0.139278
0.039500	0.010	-0.145920
0.039667	0.010	-0.123229
0.039833	0.010	-0.120451
0.040000	0.010	-0.099459
0.040167	0.010	-0.098804
0.040333	0.010	-0.061711
0.040500	0.010	-0.084048
0.040667	0.010	-0.077174
0.040833	0.010	-0.099190
0.041000	0.010	-0.075957
0.041167	0.010	-0.077980
0.041333	0.010	-0.092811
0.041500	0.010	-0.081874
0.041667	0.010	-0.095838
0.041833	0.010	-0.081186
0.042000	0.010	-0.081902
0.042167	0.010	-0.074997
0.042333	0.010	-0.063970
0.042500	0.010	-0.094564
0.042667	0.010	-0.103627
0.042833	0.010	-0.085418
0.043000	0.010	-0.093681
0.043167	0.010	-0.108146
0.043333	0.010	-0.102042
0.043500	0.010	-0.093152
0.043667	0.010	-0.127567
0.043833	0.010	-0.103576
0.044000	0.010	-0.069042
0.044167	0.010	-0.078097
0.044333	0.010	-0.096382
0.044500	0.010	-0.116359
0.044667	0.010	-0.084892
0.044833	0.010	-0.104770
0.045000	0.010	-0.101289
0.045167	0.010	-0.079189
0.045333	0.010	-0.098550
0.045500	0.010	-0.097562
0.045667	0.010	-0.083496
0.045833	0.010	-0.096991
0.046000	0.010	-0.075627
0.046167	0.010	-0.110057
0.046333	0.010	-0.098064
0.046500	0.010	-0.102785
0.046667	0.010	-0.119723
0.046833	0.010	-0.102485
0.047000	0.010	-0.086792
0.047167	0.010	-0.075208
0.047333	0.010	-0.091651
0.047500	0.010	-0.100623
0.047667	0.010	-0.090842
0.047833	0.010	-0.091760
0.048000	0.010	-0.078523
0.048167	0.010	-0.099373
0.048333	0.010	-0.088694
0.048500	0.010	-0.101253
0.048667	0.010	-0.092633
0.048833	0.010	-0.095881
0.049000	0.010	-0.102417
0.049167	0.010	-0.109713
0.049333	0.010	-0.122153
0.049500	0.010	-0.084067
0.049667	0.010	-0.091134
0.049833	0.010	-0.098307
0.050000	0.010	-0.079048
0.050167	0.010	-0.086009
0.050333	0.010	-0.108421
0.050500	0.010	-0.084917
0.050667	0.010	-0.079915
0.050833	0.010	-0.101494
0.051000	0.010	-0.058647
0.051167	0.010	-0.104060
0.051333	0.010	-0.088367
0.051500	0.010	-0.104010
0.051667	0.010	-0.107777
0.051833	0.010	-0.075322
0.052000	0.010	-0.096111
0.052167	0.010	-0.103364
0.052333	0.010	-0.098719
0.052500	0.010	-0.086672
0.052667	0.010	-0.108084
0.052833	0.010	-0.095197
0.053000	0.010	-0.090399
0.053167	0.010	-0.109437
0.053333	0.010	-0.107418
0.053500	0.010	-0.145664
0.053667	0.010	-0.119061
0.053833	0.010	-0.115834
0.054000	0.010	-0.100347
0.054167	0.010	-0.116301
0.054333	0.010	-0.140434
0.054500	0.010	-0.090988
0.054667	0.010	-0.087413
0.054833	0.010	-0.113308
0.055000	0.010	-0.101613
0.055167	0.010	-0.091095
0.055333	0.010	-0.102297
0.055500	0.010	-0.075525
0.055667	0.010	-0.099631
0.055833	0.010	-0.115767
0.056000	0.010	-0.097645
0.056167	0.010	-0.107772
0.056333	0.010	-0.117923
0.056500	0.010	-0.118190
0.056667	0.010	-0.117459
0.056833	0.010	-0.137284
0.057000	0.010	-0.105928
0.057167	0.010	-0.090519
0.057333	0.010	-0.120005
0.057500	0.010	-0.110450
0.057667	0.010	-0.099170
0.057833	0.010	-0.108794
0.058000	0.010	-0.096933
0.058167	0.010	-0.091153
0.058333	0.010	-0.075093
0.058500	0.010	-0.069718
0.058667	0.010	-0.063060
0.058833	0.010	-0.080622
0.059000	0.010	-0.076576
0.059167	0.010	-0.054097
0.059333	0.010	-0.063848
0.059500	0.010	-0.093129
0.059667	0.010	-0.099882
0.059833	0.010	-0.100769
0.060000	0.010	-0.113633
0.060167	0.010	-0.059017
0.060333	0.010	-0.046554
0.060500	0.010	-0.055534
0.060667	0.010	-0.069464
0.060833	0.010	-0.082470
0.061000	0.010	-0.084602
0.061167	0.010	-0.113558
0.061333	0.010	-0.118744
0.061500	0.010	-0.098762
0.061667	0.010	-0.102734
0.061833	0.010	-0.094521
0.062000	0.010	-0.100044
0.062167	0.010	-0.105073
0.062333	0.010	-0.107392
0.062500	0.010	-0.116153
0.062667	0.010	-0.104542
0.062833	0.010	-0.103641
0.063000	0.010	-0.130521
0.063167	0.010	-0.085163
0.063333	0.010	-0.095977
0.063500	0.010	-0.107717
0.063667	0.010	-0.098469
0.063833	0.010	-0.096724
0.064000	0.010	-0.101135
0.064167	0.010	-0.080727
0.064333	0.010	-0.090037
0.064500	0.010	-0.099075
0.064667	0.010	-0.097834
0.064833	0.010	-0.107810
0.065000	0.010	-0.094857
0.065167	0.010	-0.065297
0.065333	0.010	-0.062832
0.065500	0.010	-0.075265
0.065667	0.010	-0.082450
0.065833	0.010	-0.073542
0.066000	0.010	-0.071761
0.066167	0.010	-0.093939
0.066333	0.010	-0.110040
0.066500	0.010	-0.116147
0.066667	0.010	-0.105209
0.066833	0.010	-0.128485
0.067000	0.010	-0.115159
0.067167	0.010	-0.114138
0.067333	0.010	-0.098409
0.067500	0.010	-0.104451
0.067667	0.010	-0.115678
0.067833	0.010	-0.110977
0.068000	0.010	-0.109377
0.068167	0.010	-0.081813
0.068333	0.010	-0.099823
0.068500	0.010	-0.131491
0.068667	0.010	-0.083308
0.068833	0.010	-0.071242
0.069000	0.010	-0.109578
0.069167	0.010	-0.112648
0.069333	0.010	-0.066343
0.069500	0.010	-0.090560
0.069667	0.010	-0.090747
0.069833	0.010	-0.067251
0.070000	0.010	-0.101115
0.070167	0.010	-0.105539
0.070333	0.010	-0.105856
0.070500	0.010	-0.089641
0.070667	0.010	-0.086960
0.070833	0.010	-0.113914
0.071000	0.010	-0.127232
0.071167	0.010	-0.104188
0.071333	0.010	-0.066768
0.071500	0.010	-0.067035
0.071667	0.010	-0.083107
0.071833	0.010	-0.078864
0.072000	0.010	-0.105940
0.072167	0.010	-0.090613
0.072333	0.010	-0.098744
0.072500	0.010	-0.095018
0.072667	0.010	-0.086757
0.072833	0.010	-0.096936
0.073000	0.010	-0.106307
0.073167	0.010	-0.087297
0.073333	0.010	-0.094763
0.073500	0.010	-0.112181
0.073667	0.010	-0.111416
0.073833	0.010	-0.123562
0.074000	0.010	-0.126523
0.074167	0.010	-0.083646
0.074333	0.010	-0.080614
0.074500	0.010	-0.105007
0.074667	0.010	-0.102952
0.074833	0.010	-0.116719
0.075000	0.010	-0.103898
0.075167	0.010	-0.117888
0.075333	0.010	-0.114876
0.075500	0.010	-0.096057
0.075667	0.010	-0.114570
0.075833	0.010	-0.102565
0.076000	0.010	-0.084735
0.076167	0.010	-0.102476
0.076333	0.010	-0.074933
0.076500	0.010	-0.062433
0.076667	0.010	-0.086099
0.076833	0.010	-0.103379
0.077000	0.010	-0.100015
0.077167	0.010	-0.088973
0.077333	0.010	-0.100262
0.077500	0.010	-0.082976
0.077667	0.010	-0.074212
0.077833	0.010	-0.066618
0.078000	0.010	-0.075217
0.078167	0.010	-0.086126
0.078333	0.010	-0.075360
0.078500	0.010	-0.064710
0.078667	0.010	-0.088915
0.078833	0.010	-0.079694
0.079000	0.010	-0.084331
0.079167	0.010	-0.084564
0.079333	0.010	-0.089834
0.079500	0.010	-0.103043
0.079667	0.010	-0.111590
0.079833	0.010	-0.093245
0.080000	0.010	-0.098643
0.080167	0.010	-0.084901
0.080333	0.010	-0.072332
0.080500	0.010	-0.090578
0.080667	0.010	-0.077295
0.080833	0.010	-0.096388
0.081000	0.010	-0.080711
0.081167	0.010	-0.084507
0.081333	0.010	-0.065342
0.081500	0.010	-0.078359
0.081667	0.010	-0.078221
0.081833	0.010	-0.095589
0.082000	0.010	-0.097255
0.082167	0.010	-0.082295
0.082333	0.010	-0.091300
0.082500	0.010	-0.076850
0.082667	0.010	-0.059077
0.082833	0.010	-0.069532
0.083000	0.010	-0.091946
0.083167	0.010	-0.092821
0.083333	0.010	-0.072386
0.083500	0.010	-0.066760
0.083667	0.010	-0.066899
0.083833	0.010	-0.089197
0.084000	0.010	-0.079058
0.084167	0.010	-0.071177
0.084333	0.010	-0.117615
0.084500	0.010	-0.134187
0.084667	0.010	-0.111445
0.084833	0.010	-0.115108
0.085000	0.010	-0.103153
0.085167	0.010	-0.096624
0.085333	0.010	-0.077161
0.085500	0.010	-0.088089
0.085667	0.010	-0.077060
0.085833	0.010	-0.079622
0.086000	0.010	-0.101323
0.086167	0.010	-0.102912
0.086333	0.010	-0.098788
0.086500	0.010	-0.057690
0.086667	0.010	-0.085864
0.086833	0.010	-0.103543
0.087000	0.010	-0.112388
0.087167	0.010	-0.115296
