File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/876.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	1 mL Std
Injection Number	1
Position	1
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Calibration Standard
Status	Finished
Injection Date	11/1/2016
Injection Time	9:21:42 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.049907
Signal Max.	8.835216
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.030333	0.010	0.000880
0.030500	0.010	-0.004251
0.030667	0.010	0.002563
0.030833	0.010	-0.015193
0.031000	0.010	-0.025182
0.031167	0.010	-0.031618
0.031333	0.010	0.010141
0.031500	0.010	0.021073
0.031667	0.010	-0.007951
0.031833	0.010	0.017399
0.032000	0.010	0.005512
0.032167	0.010	-0.006337
0.032333	0.010	0.016762
0.032500	0.010	-0.017711
0.032667	0.010	-0.035277
0.032833	0.010	-0.024109
0.033000	0.010	-0.011591
0.033167	0.010	0.007617
0.033333	0.010	0.000592
0.033500	0.010	0.002350
0.033667	0.010	0.014478
0.033833	0.010	0.004287
0.034000	0.010	0.027217
0.034167	0.010	0.001581
0.034333	0.010	0.004920
0.034500	0.010	0.047945
0.034667	0.010	0.048952
0.034833	0.010	-0.019939
0.035000	0.010	0.011652
0.035167	0.010	0.010723
0.035333	0.010	0.027563
0.035500	0.010	0.010998
0.035667	0.010	0.016854
0.035833	0.010	0.033525
0.036000	0.010	0.039210
0.036167	0.010	0.038427
0.036333	0.010	0.042945
0.036500	0.010	0.034616
0.036667	0.010	0.002167
0.036833	0.010	0.012749
0.037000	0.010	0.031874
0.037167	0.010	0.029982
0.037333	0.010	0.026664
0.037500	0.010	0.023396
0.037667	0.010	0.003484
0.037833	0.010	-0.005437
0.038000	0.010	0.011271
0.038167	0.010	0.001825
0.038333	0.010	-0.010346
0.038500	0.010	-0.010690
0.038667	0.010	-0.010705
0.038833	0.010	-0.001533
0.039000	0.010	-0.011761
0.039167	0.010	-0.011082
0.039333	0.010	-0.009405
0.039500	0.010	-0.017142
0.039667	0.010	-0.015203
0.039833	0.010	0.013711
0.040000	0.010	0.008676
0.040167	0.010	0.026894
0.040333	0.010	0.029378
0.040500	0.010	0.006530
0.040667	0.010	-0.015118
0.040833	0.010	-0.004253
0.041000	0.010	-0.013388
0.041167	0.010	-0.005328
0.041333	0.010	-0.001023
0.041500	0.010	0.015818
0.041667	0.010	0.026523
0.041833	0.010	-0.021177
0.042000	0.010	-0.038387
0.042167	0.010	-0.008573
0.042333	0.010	-0.010810
0.042500	0.010	-0.008753
0.042667	0.010	0.010588
0.042833	0.010	0.007096
0.043000	0.010	0.003753
0.043167	0.010	-0.001087
0.043333	0.010	0.001087
0.043500	0.010	-0.005632
0.043667	0.010	-0.016126
0.043833	0.010	-0.028261
0.044000	0.010	-0.020837
0.044167	0.010	-0.015249
0.044333	0.010	-0.021241
0.044500	0.010	-0.002370
0.044667	0.010	0.002356
0.044833	0.010	0.011094
0.045000	0.010	-0.002040
0.045167	0.010	-0.008684
0.045333	0.010	-0.016606
0.045500	0.010	0.003031
0.045667	0.010	0.000159
0.045833	0.010	0.018650
0.046000	0.010	0.009264
0.046167	0.010	0.003002
0.046333	0.010	0.009770
0.046500	0.010	-0.008764
0.046667	0.010	0.004745
0.046833	0.010	-0.014334
0.047000	0.010	-0.009438
0.047167	0.010	-0.008691
0.047333	0.010	0.017432
0.047500	0.010	0.019295
0.047667	0.010	0.023668
0.047833	0.010	0.016167
0.048000	0.010	0.032557
0.048167	0.010	0.041063
0.048333	0.010	0.013970
0.048500	0.010	0.010126
0.048667	0.010	0.008367
0.048833	0.010	0.030014
0.049000	0.010	0.004400
0.049167	0.010	0.005923
0.049333	0.010	0.000525
0.049500	0.010	0.003481
0.049667	0.010	0.022544
0.049833	0.010	-0.016000
0.050000	0.010	-0.034667
0.050167	0.010	-0.000808
0.050333	0.010	-0.004272
0.050500	0.010	0.001530
0.050667	0.010	0.019423
0.050833	0.010	0.024349
0.051000	0.010	0.016463
0.051167	0.010	0.000026
0.051333	0.010	-0.018257
0.051500	0.010	-0.002988
0.051667	0.010	-0.049907
0.051833	0.010	-0.012288
0.052000	0.010	-0.000217
0.052167	0.010	0.002312
0.052333	0.010	0.015175
0.052500	0.010	0.010561
0.052667	0.010	0.028206
0.052833	0.010	0.013729
0.053000	0.010	0.021249
0.053167	0.010	0.026122
0.053333	0.010	0.035102
0.053500	0.010	0.015166
0.053667	0.010	0.030384
0.053833	0.010	0.022339
0.054000	0.010	0.008995
0.054167	0.010	0.010593
0.054333	0.010	0.007945
0.054500	0.010	0.037583
0.054667	0.010	0.013482
0.054833	0.010	-0.009646
0.055000	0.010	0.009800
0.055167	0.010	-0.004518
0.055333	0.010	0.006727
0.055500	0.010	0.014731
0.055667	0.010	-0.004603
0.055833	0.010	0.025716
0.056000	0.010	-0.005933
0.056167	0.010	-0.003425
0.056333	0.010	-0.002558
0.056500	0.010	0.004101
0.056667	0.010	-0.006327
0.056833	0.010	0.022604
0.057000	0.010	0.004611
0.057167	0.010	-0.006105
0.057333	0.010	0.004477
0.057500	0.010	-0.011377
0.057667	0.010	0.019563
0.057833	0.010	0.029711
0.058000	0.010	0.030735
0.058167	0.010	0.001060
0.058333	0.010	-0.022842
0.058500	0.010	-0.046953
0.058667	0.010	-0.010558
0.058833	0.010	-0.002360
0.059000	0.010	0.009089
0.059167	0.010	0.023377
0.059333	0.010	0.021790
0.059500	0.010	0.023861
0.059667	0.010	0.023649
0.059833	0.010	0.010011
0.060000	0.010	0.010990
0.060167	0.010	0.015648
0.060333	0.010	0.018833
0.060500	0.010	0.026588
0.060667	0.010	0.013070
0.060833	0.010	0.021676
0.061000	0.010	0.004430
0.061167	0.010	-0.004491
0.061333	0.010	-0.002887
0.061500	0.010	0.015277
0.061667	0.010	0.011808
0.061833	0.010	-0.000928
0.062000	0.010	0.011182
0.062167	0.010	0.008870
0.062333	0.010	0.024931
0.062500	0.010	0.011370
0.062667	0.010	0.025751
0.062833	0.010	0.028123
0.063000	0.010	0.005049
0.063167	0.010	-0.013445
0.063333	0.010	-0.023888
0.063500	0.010	-0.028427
0.063667	0.010	-0.001526
0.063833	0.010	0.001876
0.064000	0.010	-0.001636
0.064167	0.010	-0.009266
0.064333	0.010	-0.029690
0.064500	0.010	-0.028186
0.064667	0.010	-0.016972
0.064833	0.010	-0.008579
0.065000	0.010	0.015654
0.065167	0.010	-0.000014
0.065333	0.010	-0.005130
0.065500	0.010	-0.005883
0.065667	0.010	0.010944
0.065833	0.010	-0.012487
0.066000	0.010	0.018278
0.066167	0.010	0.012845
0.066333	0.010	0.051212
0.066500	0.010	0.003321
0.066667	0.010	0.024080
0.066833	0.010	-0.000763
0.067000	0.010	0.012234
0.067167	0.010	0.029199
0.067333	0.010	-0.023311
0.067500	0.010	0.035543
0.067667	0.010	0.003283
0.067833	0.010	-0.029405
0.068000	0.010	-0.030156
0.068167	0.010	0.006813
0.068333	0.010	0.004254
0.068500	0.010	0.007463
0.068667	0.010	0.008234
0.068833	0.010	0.004202
0.069000	0.010	0.016532
0.069167	0.010	-0.023826
0.069333	0.010	-0.017305
0.069500	0.010	0.006294
0.069667	0.010	0.021404
0.069833	0.010	0.023069
0.070000	0.010	0.011230
0.070167	0.010	-0.011605
0.070333	0.010	0.013892
0.070500	0.010	0.021054
0.070667	0.010	0.016413
0.070833	0.010	0.057218
0.071000	0.010	0.011099
0.071167	0.010	0.007185
0.071333	0.010	-0.005833
0.071500	0.010	-0.009619
0.071667	0.010	0.015335
0.071833	0.010	0.009873
0.072000	0.010	-0.011393
0.072167	0.010	0.031055
0.072333	0.010	0.019556
0.072500	0.010	0.013311
0.072667	0.010	0.007835
0.072833	0.010	-0.009293
0.073000	0.010	0.010353
0.073167	0.010	0.000890
0.073333	0.010	0.022979
0.073500	0.010	-0.013048
0.073667	0.010	-0.003442
0.073833	0.010	-0.022615
0.074000	0.010	-0.009873
0.074167	0.010	0.014959
0.074333	0.010	0.026061
0.074500	0.010	0.020638
0.074667	0.010	-0.011838
0.074833	0.010	-0.011962
0.075000	0.010	-0.009521
0.075167	0.010	0.001966
0.075333	0.010	-0.000081
0.075500	0.010	0.007806
0.075667	0.010	0.023085
0.075833	0.010	0.004018
0.076000	0.010	0.003261
0.076167	0.010	0.007521
0.076333	0.010	0.019487
0.076500	0.010	-0.018307
0.076667	0.010	0.000820
0.076833	0.010	0.024105
0.077000	0.010	0.003570
0.077167	0.010	0.008457
0.077333	0.010	-0.007954
0.077500	0.010	-0.001808
0.077667	0.010	-0.016068
0.077833	0.010	-0.014825
0.078000	0.010	0.003002
0.078167	0.010	-0.011616
0.078333	0.010	-0.013692
0.078500	0.010	-0.013748
0.078667	0.010	-0.007535
0.078833	0.010	-0.023324
0.079000	0.010	-0.013879
0.079167	0.010	-0.013606
0.079333	0.010	-0.031756
0.079500	0.010	-0.038573
0.079667	0.010	0.044857
0.079833	0.010	0.001227
0.080000	0.010	0.008286
0.080167	0.010	0.013135
0.080333	0.010	0.017560
0.080500	0.010	0.012933
0.080667	0.010	0.001923
0.080833	0.010	-0.005090
0.081000	0.010	-0.005243
0.081167	0.010	-0.000719
0.081333	0.010	0.003965
0.081500	0.010	0.000832
0.081667	0.010	-0.010510
0.081833	0.010	0.008175
0.082000	0.010	0.013845
0.082167	0.010	-0.004053
0.082333	0.010	0.013921
0.082500	0.010	0.007163
0.082667	0.010	0.024499
0.082833	0.010	0.045757
0.083000	0.010	0.037841
0.083167	0.010	-0.008950
0.083333	0.010	-0.013157
0.083500	0.010	-0.033966
0.083667	0.010	-0.017926
0.083833	0.010	-0.022405
0.084000	0.010	-0.028316
0.084167	0.010	-0.015826
0.084333	0.010	-0.007591
0.084500	0.010	0.006815
0.084667	0.010	-0.008890
0.084833	0.010	-0.008230
0.085000	0.010	-0.011463
0.085167	0.010	-0.012913
0.085333	0.010	-0.015548
0.085500	0.010	-0.010055
0.085667	0.010	-0.003345
0.085833	0.010	0.002956
0.086000	0.010	-0.008562
0.086167	0.010	0.023415
0.086333	0.010	0.020782
0.086500	0.010	0.008942
0.086667	0.010	-0.013089
0.086833	0.010	0.010530
0.087000	0.010	-0.007632
0.087167	0.010	-0.021183
0.087333	0.010	-0.011702
0.087500	0.010	0.000929
0.087667	0.010	0.007221
0.087833	0.010	0.000287
0.088000	0.010	-0.020638
0.088167	0.010	-0.004112
0.088333	0.010	-0.009718
0.088500	0.010	0.000722
0.088667	0.010	-0.004810
0.088833	0.010	0.009048
0.089000	0.010	0.007720
0.089167	0.010	-0.009120
0.089333	0.010	-0.002449
0.089500	0.010	0.009630
0.089667	0.010	0.024592
0.089833	0.010	0.012605
0.090000	0.010	-0.004859
0.090167	0.010	-0.025459
0.090333	0.010	0.003996
0.090500	0.010	-0.011808
0.090667	0.010	0.001063
0.090833	0.010	-0.018608
0.091000	0.010	-0.003810
0.091167	0.010	0.018441
0.091333	0.010	-0.013640
0.091500	0.010	-0.010963
0.091667	0.010	-0.007616
0.091833	0.010	0.009211
0.092000	0.010	0.029180
0.092167	0.010	-0.014231
0.092333	0.010	0.006425
0.092500	0.010	-0.010886
0.092667	0.010	-0.009409
0.092833	0.010	0.004021
0.093000	0.010	-0.036080
0.093167	0.010	0.011189
0.093333	0.010	0.012171
0.093500	0.010	0.034876
0.093667	0.010	0.036858
0.093833	0.010	0.005370
0.094000	0.010	-0.004795
0.094167	0.010	0.016718
0.094333	0.010	0.027584
0.094500	0.010	0.004012
0.094667	0.010	-0.006588
0.094833	0.010	0.006985
0.095000	0.010	0.006735
0.095167	0.010	0.016339
0.095333	0.010	0.009329
0.095500	0.010	-0.027669
0.095667	0.010	0.005487
0.095833	0.010	0.017623
0.096000	0.010	0.018265
0.096167	0.010	-0.006097
0.096333	0.010	-0.003630
0.096500	0.010	-0.019846
0.096667	0.010	-0.007021
0.096833	0.010	0.004076
0.097000	0.010	0.018659
0.097167	0.010	-0.009045
0.097333	0.010	0.023382
0.097500	0.010	0.008068
0.097667	0.010	-0.011999
0.097833	0.010	-0.000224
0.098000	0.010	-0.031064
0.098167	0.010	-0.003475
0.098333	0.010	-0.004228
0.098500	0.010	-0.002862
0.098667	0.010	0.006108
0.098833	0.010	0.001586
0.099000	0.010	0.009199
0.099167	0.010	0.017099
0.099333	0.010	0.028241
0.099500	0.010	-0.001494
0.099667	0.010	0.026486
0.099833	0.010	0.033921
0.100000	0.010	0.004361
0.100167	0.010	-0.023947
0.100333	0.010	-0.017269
0.100500	0.010	0.025690
