File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/652.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run1
Injection Number	7
Position	8
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:23:16 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.471875
Signal Max.	92.659279
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.029667	0.010	-0.629248
0.029833	0.010	-0.641021
0.030000	0.010	-0.644474
0.030167	0.010	-0.632475
0.030333	0.010	-0.659433
0.030500	0.010	-0.636571
0.030667	0.010	-0.661470
0.030833	0.010	-0.680019
0.031000	0.010	-0.666745
0.031167	0.010	-0.663307
0.031333	0.010	-0.663808
0.031500	0.010	-0.639177
0.031667	0.010	-0.654875
0.031833	0.010	-0.638697
0.032000	0.010	-0.665833
0.032167	0.010	-0.675925
0.032333	0.010	-0.690479
0.032500	0.010	-0.644596
0.032667	0.010	-0.643402
0.032833	0.010	-0.672944
0.033000	0.010	-0.655686
0.033167	0.010	-0.667116
0.033333	0.010	-0.656071
0.033500	0.010	-0.642363
0.033667	0.010	-0.669977
0.033833	0.010	-0.671883
0.034000	0.010	-0.647570
0.034167	0.010	-0.663589
0.034333	0.010	-0.645923
0.034500	0.010	-0.665645
0.034667	0.010	-0.665454
0.034833	0.010	-0.641447
0.035000	0.010	-0.643772
0.035167	0.010	-0.639011
0.035333	0.010	-0.661717
0.035500	0.010	-0.667816
0.035667	0.010	-0.657453
0.035833	0.010	-0.639489
0.036000	0.010	-0.657635
0.036167	0.010	-0.633906
0.036333	0.010	-0.650993
0.036500	0.010	-0.632721
0.036667	0.010	-0.651402
0.036833	0.010	-0.655159
0.037000	0.010	-0.670399
0.037167	0.010	-0.670035
0.037333	0.010	-0.668653
0.037500	0.010	-0.687466
0.037667	0.010	-0.661257
0.037833	0.010	-0.648238
0.038000	0.010	-0.668242
0.038167	0.010	-0.669318
0.038333	0.010	-0.682689
0.038500	0.010	-0.679812
0.038667	0.010	-0.673386
0.038833	0.010	-0.678357
0.039000	0.010	-0.671609
0.039167	0.010	-0.671485
0.039333	0.010	-0.677457
0.039500	0.010	-0.682531
0.039667	0.010	-0.670388
0.039833	0.010	-0.679679
0.040000	0.010	-0.676803
0.040167	0.010	-0.666051
0.040333	0.010	-0.666518
0.040500	0.010	-0.668532
0.040667	0.010	-0.645895
0.040833	0.010	-0.633907
0.041000	0.010	-0.655987
0.041167	0.010	-0.647466
0.041333	0.010	-0.661102
0.041500	0.010	-0.678677
0.041667	0.010	-0.658361
0.041833	0.010	-0.678704
0.042000	0.010	-0.658519
0.042167	0.010	-0.639320
0.042333	0.010	-0.666881
0.042500	0.010	-0.668689
0.042667	0.010	-0.660787
