Nov. 15, 2016   10:24:57
Cyclic Voltammetry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\cv_cn_0,025.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: Sample CN Conc : 5e-3M 
Note: 

Init E (V) = 0.5
High E (V) = 0.5
Low E (V) = 0
Init P/N = N
Scan Rate (V/s) = 0.025
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.221V
ip = 1.400e-5A
Ah = 3.545e-5C

Segment 2:
Ep = 0.284V
ip = -1.325e-5A
Ah = -3.242e-5C

Potential/V	Current/A

0.500	-7.933e-7
0.499	-7.492e-7
0.498	-7.319e-7
0.497	-7.180e-7
0.496	-7.062e-7
0.495	-6.940e-7
0.494	-6.839e-7
0.493	-6.738e-7
0.492	-6.637e-7
0.491	-6.553e-7
0.490	-6.463e-7
0.489	-6.371e-7
0.488	-6.301e-7
0.487	-6.209e-7
0.486	-6.137e-7
0.485	-6.058e-7
0.484	-5.986e-7
0.483	-5.919e-7
0.482	-5.851e-7
0.481	-5.775e-7
0.480	-5.717e-7
0.479	-5.649e-7
0.478	-5.589e-7
0.477	-5.529e-7
0.476	-5.462e-7
0.475	-5.413e-7
0.474	-5.345e-7
0.473	-5.286e-7
0.472	-5.239e-7
0.471	-5.174e-7
0.470	-5.125e-7
0.469	-5.070e-7
0.468	-5.011e-7
0.467	-4.970e-7
0.466	-4.913e-7
0.465	-4.861e-7
0.464	-4.811e-7
0.463	-4.762e-7
0.462	-4.715e-7
0.461	-4.667e-7
0.460	-4.614e-7
0.459	-4.577e-7
0.458	-4.528e-7
0.457	-4.477e-7
0.456	-4.438e-7
0.455	-4.384e-7
0.454	-4.341e-7
0.453	-4.300e-7
0.452	-4.251e-7
0.451	-4.213e-7
0.450	-4.172e-7
0.449	-4.126e-7
0.448	-4.085e-7
0.447	-4.036e-7
0.446	-4.000e-7
0.445	-3.951e-7
0.444	-3.909e-7
0.443	-3.874e-7
0.442	-3.826e-7
0.441	-3.786e-7
0.440	-3.754e-7
0.439	-3.712e-7
0.438	-3.675e-7
0.437	-3.640e-7
0.436	-3.589e-7
0.435	-3.554e-7
0.434	-3.515e-7
0.433	-3.462e-7
0.432	-3.431e-7
0.431	-3.380e-7
0.430	-3.340e-7
0.429	-3.303e-7
0.428	-3.247e-7
0.427	-3.218e-7
0.426	-3.169e-7
0.425	-3.121e-7
0.424	-3.083e-7
0.423	-3.032e-7
0.422	-2.991e-7
0.421	-2.945e-7
0.420	-2.894e-7
0.419	-2.857e-7
0.418	-2.804e-7
0.417	-2.755e-7
0.416	-2.714e-7
0.415	-2.658e-7
0.414	-2.615e-7
0.413	-2.561e-7
0.412	-2.504e-7
0.411	-2.458e-7
0.410	-2.392e-7
0.409	-2.341e-7
0.408	-2.291e-7
0.407	-2.236e-7
0.406	-2.181e-7
0.405	-2.126e-7
0.404	-2.062e-7
0.403	-2.009e-7
0.402	-1.945e-7
0.401	-1.884e-7
0.400	-1.818e-7
0.399	-1.752e-7
0.398	-1.690e-7
0.397	-1.622e-7
0.396	-1.546e-7
0.395	-1.481e-7
0.394	-1.404e-7
0.393	-1.326e-7
0.392	-1.255e-7
0.391	-1.169e-7
0.390	-1.091e-7
0.389	-1.009e-7
0.388	-9.120e-8
0.387	-8.337e-8
0.386	-7.399e-8
0.385	-6.425e-8
0.384	-5.492e-8
0.383	-4.408e-8
0.382	-3.588e-8
0.381	-2.486e-8
0.380	-1.285e-8
0.379	-2.974e-9
0.378	8.936e-9
0.377	2.129e-8
0.376	3.383e-8
0.375	4.781e-8
