Nov. 15, 2016   10:11:20
Chronoamperometry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\ca_cn.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = 0.4
High E (V) = 0.45
Low E (V) = 0.1
Init P/N = P
Step = 2
Pulse Width (sec) = 2.
Sample Interval (s) = 1e-3
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Forward:
Slp = -4.853e-8
Int = 1.719e-7
Cor = -0.69981

Reverse:
Slp = 3.861e-5
Int = 8.526e-6
Cor = 0.99979

Time/sec	Current/A
1.940e-1	-3.174e-8
1.950e-1	-3.884e-8
1.960e-1	-4.552e-8
1.970e-1	-4.336e-8
1.980e-1	-4.110e-8
1.990e-1	-3.709e-8
2.000e-1	-2.681e-8
2.010e-1	-3.452e-8
2.020e-1	-4.583e-8
2.030e-1	-1.386e-8
2.040e-1	-2.527e-8
2.050e-1	-3.061e-8
2.060e-1	-2.784e-8
2.070e-1	-4.501e-8
2.080e-1	-4.459e-8
2.090e-1	-3.997e-8
2.100e-1	-2.321e-8
2.110e-1	-2.609e-8
2.120e-1	-2.229e-8
2.130e-1	-1.530e-8
2.140e-1	-2.897e-8
2.150e-1	-2.044e-8
2.160e-1	-1.509e-8
2.170e-1	1.472e-8
2.180e-1	-1.355e-8
2.190e-1	-1.643e-8
2.200e-1	-5.840e-9
2.210e-1	-4.607e-9
2.220e-1	-1.026e-8
2.230e-1	-2.547e-8
2.240e-1	-1.376e-8
2.250e-1	-4.264e-8
2.260e-1	-2.198e-8
2.270e-1	4.542e-9
2.280e-1	-6.252e-9
2.290e-1	-1.201e-8
2.300e-1	-2.558e-8
2.310e-1	-1.787e-8
2.320e-1	-2.962e-9
2.330e-1	7.626e-9
2.340e-1	1.945e-8
2.350e-1	-1.523e-9
2.360e-1	1.252e-9
2.370e-1	1.664e-9
2.380e-1	-7.793e-9
2.390e-1	-1.098e-8
2.400e-1	8.654e-9
2.410e-1	8.448e-9
2.420e-1	-9.952e-9
2.430e-1	1.561e-9
2.440e-1	1.235e-8
2.450e-1	-2.037e-9
2.460e-1	-1.191e-8
2.470e-1	-1.160e-8
2.480e-1	1.217e-10
2.490e-1	8.551e-9
2.500e-1	2.644e-8
2.510e-1	1.770e-8
2.520e-1	3.925e-9
2.530e-1	1.225e-8
2.540e-1	1.266e-8
2.550e-1	5.981e-9
2.560e-1	1.492e-8
2.570e-1	-1.317e-9
2.580e-1	2.794e-9
2.590e-1	9.682e-9
2.600e-1	3.415e-8
2.610e-1	1.914e-8
2.620e-1	2.692e-9
2.630e-1	-1.831e-9
2.640e-1	1.277e-8
2.650e-1	2.428e-8
2.660e-1	3.024e-8
2.670e-1	3.281e-8
2.680e-1	2.366e-8
2.690e-1	1.092e-8
2.700e-1	3.045e-8
2.710e-1	1.585e-8
2.720e-1	9.476e-9
2.730e-1	2.119e-8
2.740e-1	2.078e-8
2.750e-1	7.112e-9
2.760e-1	1.893e-8
2.770e-1	4.165e-8
2.780e-1	2.716e-8
2.790e-1	1.040e-8
2.800e-1	2.428e-8
2.810e-1	4.237e-8
2.820e-1	3.445e-8
2.830e-1	3.661e-8
2.840e-1	4.422e-8
2.850e-1	2.736e-8
2.860e-1	2.623e-8
2.870e-1	3.857e-8
2.880e-1	3.106e-8
2.890e-1	3.374e-8
2.900e-1	2.356e-8
2.910e-1	3.589e-8
2.920e-1	2.068e-8
2.930e-1	3.661e-8
2.940e-1	3.600e-8
2.950e-1	4.021e-8
2.960e-1	4.905e-8
2.970e-1	5.553e-8
2.980e-1	3.127e-8
2.990e-1	4.597e-8
3.000e-1	5.656e-8
3.010e-1	4.237e-8
3.020e-1	4.196e-8
3.030e-1	3.661e-8
3.040e-1	3.302e-8
3.050e-1	4.751e-8
3.060e-1	4.011e-8
3.070e-1	2.603e-8
3.080e-1	3.908e-8
3.090e-1	4.083e-8
3.100e-1	3.990e-8
3.110e-1	3.877e-8
3.120e-1	3.435e-8
3.130e-1	4.977e-8
3.140e-1	4.206e-8
3.150e-1	5.594e-8
3.160e-1	5.018e-8
3.170e-1	6.056e-8
3.180e-1	4.957e-8
3.190e-1	4.473e-8
3.200e-1	6.601e-8
3.210e-1	5.409e-8
3.220e-1	4.710e-8
3.230e-1	3.744e-8
3.240e-1	5.645e-8
3.250e-1	3.918e-8
3.260e-1	5.029e-8
3.270e-1	5.234e-8
3.280e-1	4.700e-8
3.290e-1	6.694e-8
3.300e-1	4.957e-8
3.310e-1	3.538e-8
3.320e-1	5.553e-8
3.330e-1	6.714e-8
3.340e-1	7.187e-8
3.350e-1	5.419e-8
3.360e-1	5.871e-8
3.370e-1	7.043e-8
3.380e-1	5.255e-8
3.390e-1	5.193e-8
3.400e-1	5.820e-8
3.410e-1	4.648e-8
3.420e-1	4.001e-8
3.430e-1	6.005e-8
3.440e-1	6.344e-8
3.450e-1	5.954e-8
3.460e-1	5.347e-8
3.470e-1	6.139e-8
3.480e-1	4.432e-8
3.490e-1	5.738e-8
3.500e-1	7.979e-8
3.510e-1	5.717e-8
3.520e-1	5.666e-8
3.530e-1	6.468e-8
3.540e-1	4.545e-8
3.550e-1	4.628e-8
3.560e-1	5.943e-8
3.570e-1	6.776e-8
3.580e-1	4.761e-8
3.590e-1	5.193e-8
3.600e-1	6.396e-8
3.610e-1	8.359e-8
3.620e-1	5.512e-8
3.630e-1	6.910e-8
3.640e-1	6.704e-8
3.650e-1	7.403e-8
3.660e-1	7.064e-8
3.670e-1	7.742e-8
3.680e-1	6.303e-8
3.690e-1	6.026e-8
3.700e-1	7.146e-8
3.710e-1	5.594e-8
3.720e-1	6.663e-8
3.730e-1	6.971e-8
3.740e-1	5.008e-8
3.750e-1	5.039e-8
3.760e-1	6.221e-8
3.770e-1	8.472e-8
3.780e-1	6.170e-8
3.790e-1	7.485e-8
3.800e-1	7.146e-8
3.810e-1	6.272e-8
3.820e-1	7.753e-8
3.830e-1	7.506e-8
3.840e-1	8.945e-8
3.850e-1	7.547e-8
3.860e-1	6.930e-8
3.870e-1	7.393e-8
3.880e-1	6.848e-8
3.890e-1	7.331e-8
3.900e-1	5.799e-8
3.910e-1	7.095e-8
3.920e-1	5.368e-8
3.930e-1	7.845e-8
3.940e-1	8.225e-8
3.950e-1	6.941e-8
3.960e-1	7.249e-8
3.970e-1	7.249e-8
3.980e-1	7.938e-8
3.990e-1	8.133e-8
4.000e-1	8.811e-8
4.010e-1	9.017e-8
4.020e-1	6.344e-8
4.030e-1	8.339e-8
4.040e-1	7.537e-8
4.050e-1	7.866e-8
4.060e-1	7.537e-8
4.070e-1	7.311e-8
4.080e-1	6.971e-8
4.090e-1	7.896e-8
4.100e-1	8.719e-8
4.110e-1	8.554e-8
4.120e-1	7.485e-8
4.130e-1	7.568e-8
4.140e-1	8.709e-8
4.150e-1	7.454e-8
4.160e-1	8.822e-8
4.170e-1	9.901e-8
4.180e-1	7.002e-8
4.190e-1	6.570e-8
4.200e-1	8.739e-8
4.210e-1	8.400e-8
4.220e-1	7.043e-8
4.230e-1	7.588e-8
4.240e-1	6.941e-8
4.250e-1	6.221e-8
4.260e-1	9.089e-8
4.270e-1	1.004e-7
4.280e-1	8.678e-8
4.290e-1	7.516e-8
4.300e-1	8.400e-8
4.310e-1	8.020e-8
4.320e-1	9.058e-8
4.330e-1	9.737e-8
4.340e-1	8.966e-8
4.350e-1	7.126e-8
4.360e-1	8.503e-8
4.370e-1	9.747e-8
4.380e-1	7.403e-8
4.390e-1	7.825e-8
4.400e-1	7.753e-8
4.410e-1	8.935e-8
4.420e-1	7.444e-8
4.430e-1	8.822e-8
4.440e-1	1.027e-7
4.450e-1	7.968e-8
4.460e-1	8.595e-8
4.470e-1	8.246e-8
4.480e-1	9.346e-8
4.490e-1	9.922e-8
4.500e-1	1.026e-7
4.510e-1	8.873e-8
4.520e-1	8.318e-8
4.530e-1	9.387e-8
4.540e-1	8.863e-8
4.550e-1	8.657e-8
4.560e-1	8.133e-8
4.570e-1	9.079e-8
4.580e-1	7.958e-8
4.590e-1	7.732e-8
4.600e-1	9.336e-8
4.610e-1	9.819e-8
4.620e-1	8.688e-8
4.630e-1	7.886e-8
4.640e-1	9.675e-8
4.650e-1	1.018e-7
4.660e-1	9.253e-8
4.670e-1	1.004e-7
4.680e-1	9.613e-8
4.690e-1	8.462e-8
4.700e-1	9.839e-8
4.710e-1	8.709e-8
4.720e-1	8.390e-8
4.730e-1	1.018e-7
4.740e-1	8.822e-8
4.750e-1	6.776e-8
4.760e-1	8.945e-8
4.770e-1	1.044e-7
4.780e-1	9.171e-8
4.790e-1	8.215e-8
4.800e-1	9.644e-8
4.810e-1	1.030e-7
4.820e-1	1.019e-7
4.830e-1	9.665e-8
4.840e-1	9.253e-8
4.850e-1	9.480e-8
4.860e-1	9.325e-8
4.870e-1	1.012e-7
4.880e-1	9.387e-8
4.890e-1	9.048e-8
4.900e-1	8.935e-8
4.910e-1	1.009e-7
4.920e-1	8.267e-8
4.930e-1	9.613e-8
4.940e-1	1.139e-7
4.950e-1	8.966e-8
4.960e-1	9.438e-8
