Potential/V	Current/A
0.219	2.037e-5
0.218	2.036e-5
0.217	2.034e-5
0.216	2.032e-5
0.215	2.028e-5
0.214	2.025e-5
0.213	2.021e-5
0.212	2.017e-5
0.211	2.012e-5
0.210	2.007e-5
0.209	2.000e-5
0.208	1.994e-5
0.207	1.988e-5
0.206	1.980e-5
0.205	1.973e-5
0.204	1.966e-5
0.203	1.958e-5
0.202	1.950e-5
0.201	1.941e-5
0.200	1.933e-5
0.199	1.925e-5
0.198	1.915e-5
0.197	1.907e-5
0.196	1.898e-5
0.195	1.888e-5
0.194	1.879e-5
0.193	1.870e-5
0.192	1.861e-5
0.191	1.851e-5
0.190	1.842e-5
0.189	1.832e-5
0.188	1.823e-5
0.187	1.813e-5
0.186	1.803e-5
0.185	1.794e-5
0.184	1.784e-5
0.183	1.775e-5
0.182	1.765e-5
0.181	1.755e-5
0.180	1.746e-5
0.179	1.736e-5
0.178	1.727e-5
0.177	1.717e-5
0.176	1.708e-5
0.175	1.699e-5
0.174	1.689e-5
0.173	1.680e-5
0.172	1.671e-5
0.171	1.662e-5
0.170	1.653e-5
0.169	1.644e-5
0.168	1.635e-5
0.167	1.627e-5
0.166	1.618e-5
0.165	1.609e-5
0.164	1.601e-5
0.163	1.593e-5
0.162	1.584e-5
0.161	1.576e-5
0.160	1.568e-5
0.159	1.560e-5
0.158	1.552e-5
0.157	1.544e-5
0.156	1.536e-5
0.155	1.529e-5
0.154	1.521e-5
0.153	1.514e-5
0.152	1.506e-5
0.151	1.499e-5
0.150	1.492e-5
0.149	1.485e-5
0.148	1.478e-5
0.147	1.471e-5
0.146	1.464e-5
0.145	1.457e-5
0.144	1.451e-5
0.143	1.444e-5
0.142	1.438e-5
0.141	1.432e-5
0.140	1.425e-5
0.139	1.419e-5
0.138	1.413e-5
0.137	1.407e-5
0.136	1.401e-5
0.135	1.396e-5
0.134	1.390e-5
0.133	1.384e-5
0.132	1.379e-5
0.131	1.373e-5
0.130	1.368e-5
0.129	1.363e-5
0.128	1.357e-5
0.127	1.352e-5
0.126	1.347e-5
0.125	1.342e-5
0.124	1.337e-5
0.123	1.332e-5
0.122	1.328e-5
0.121	1.323e-5
0.120	1.318e-5
0.119	1.314e-5
0.118	1.309e-5
0.117	1.305e-5
0.116	1.300e-5
0.115	1.296e-5
0.114	1.292e-5
0.113	1.288e-5
0.112	1.284e-5
0.111	1.279e-5
0.110	1.275e-5
0.109	1.272e-5
0.108	1.268e-5
0.107	1.264e-5
0.106	1.260e-5
0.105	1.256e-5
0.104	1.253e-5
0.103	1.249e-5
0.102	1.246e-5
0.101	1.242e-5
0.100	1.239e-5
0.099	1.235e-5
0.098	1.232e-5
0.097	1.229e-5
0.096	1.225e-5
0.095	1.222e-5
0.094	1.219e-5
0.093	1.216e-5
0.092	1.213e-5
0.091	1.210e-5
0.090	1.207e-5
0.089	1.204e-5
0.088	1.202e-5
0.087	1.199e-5
0.086	1.196e-5
0.085	1.193e-5
0.084	1.191e-5
0.083	1.188e-5
0.082	1.185e-5
0.081	1.183e-5
0.080	1.180e-5
0.079	1.178e-5
0.078	1.175e-5
0.077	1.173e-5
0.076	1.171e-5
0.075	1.168e-5
0.074	1.166e-5
0.073	1.164e-5
0.072	1.162e-5
0.071	1.160e-5
0.070	1.157e-5
0.069	1.155e-5
0.068	1.153e-5
0.067	1.151e-5
0.066	1.149e-5
0.065	1.147e-5
0.064	1.145e-5
0.063	1.143e-5
0.062	1.141e-5
0.061	1.139e-5
0.060	1.138e-5
0.059	1.136e-5
0.058	1.134e-5
0.057	1.132e-5
0.056	1.130e-5
0.055	1.129e-5
0.054	1.127e-5
0.053	1.126e-5
0.052	1.124e-5
0.051	1.122e-5
0.050	1.121e-5
0.049	1.119e-5
0.048	1.118e-5
0.047	1.116e-5
0.046	1.115e-5
0.045	1.113e-5
0.044	1.112e-5
0.043	1.111e-5
0.042	1.109e-5
0.041	1.108e-5
0.040	1.107e-5
0.039	1.105e-5
0.038	1.104e-5
0.037	1.103e-5
0.036	1.102e-5
0.035	1.100e-5
0.034	1.099e-5
0.033	1.098e-5
0.032	1.097e-5
0.031	1.096e-5
0.030	1.095e-5
0.029	1.094e-5
0.028	1.093e-5
0.027	1.092e-5
0.026	1.091e-5
0.025	1.090e-5
0.024	1.089e-5
0.023	1.088e-5
0.022	1.087e-5
0.021	1.086e-5
0.020	1.085e-5
0.019	1.084e-5
0.018	1.084e-5
0.017	1.083e-5
0.016	1.082e-5
0.015	1.081e-5
0.014	1.080e-5
0.013	1.080e-5
0.012	1.079e-5
0.011	1.078e-5
0.010	1.078e-5
0.009	1.077e-5
0.008	1.076e-5
0.007	1.076e-5
0.006	1.075e-5
0.005	1.074e-5
0.004	1.074e-5
0.003	1.073e-5
0.002	1.073e-5
0.001	1.072e-5
0.000	1.065e-5
0.001	1.044e-5
0.002	1.034e-5
0.003	1.027e-5
0.004	1.022e-5
0.005	1.017e-5
0.006	1.013e-5
0.007	1.008e-5
0.008	1.004e-5
0.009	1.000e-5
0.010	9.963e-6
0.011	9.925e-6
0.012	9.887e-6
0.013	9.852e-6
0.014	9.816e-6
0.015	9.781e-6
0.016	9.748e-6
0.017	9.715e-6
0.018	9.683e-6
0.019	9.651e-6
0.020	9.619e-6
0.021	9.588e-6
0.022	9.557e-6
0.023	9.527e-6
0.024	9.498e-6
0.025	9.466e-6
0.026	9.437e-6
0.027	9.409e-6
0.028	9.381e-6
0.029	9.353e-6
0.030	9.324e-6
0.031	9.297e-6
0.032	9.271e-6
0.033	9.243e-6
0.034	9.218e-6
0.035	9.191e-6
0.036	9.165e-6
0.037	9.140e-6
0.038	9.114e-6
0.039	9.089e-6
0.040	9.066e-6
0.041	9.040e-6
0.042	9.017e-6
0.043	8.992e-6
0.044	8.968e-6
0.045	8.945e-6
0.046	8.920e-6
0.047	8.897e-6
0.048	8.875e-6
0.049	8.851e-6
0.050	8.829e-6
0.051	8.805e-6
0.052	8.782e-6
0.053	8.761e-6
0.054	8.738e-6
0.055	8.716e-6
0.056	8.693e-6
0.057	8.670e-6
0.058	8.649e-6
0.059	8.627e-6
0.060	8.605e-6
0.061	8.585e-6
0.062	8.563e-6
0.063	8.542e-6
0.064	8.521e-6
0.065	8.500e-6
0.066	8.480e-6
0.067	8.460e-6
0.068	8.439e-6
0.069	8.418e-6
0.070	8.398e-6
0.071	8.377e-6
0.072	8.358e-6
0.073	8.337e-6
0.074	8.318e-6
0.075	8.297e-6
0.076	8.277e-6
0.077	8.258e-6
0.078	8.237e-6
0.079	8.217e-6
0.080	8.198e-6
0.081	8.177e-6
0.082	8.159e-6
0.083	8.139e-6
0.084	8.119e-6
0.085	8.100e-6
0.086	8.080e-6
0.087	8.061e-6
0.088	8.042e-6
0.089	8.022e-6
0.090	8.003e-6
0.091	7.983e-6
0.092	7.963e-6
0.093	7.944e-6
0.094	7.924e-6
0.095	7.904e-6
0.096	7.883e-6
0.097	7.863e-6
0.098	7.844e-6
0.099	7.824e-6
0.100	7.803e-6
0.101	7.784e-6
0.102	7.764e-6
0.103	7.744e-6
0.104	7.723e-6
0.105	7.702e-6
0.106	7.683e-6
0.107	7.663e-6
0.108	7.642e-6
0.109	7.622e-6
0.110	7.599e-6
0.111	7.578e-6
0.112	7.557e-6
0.113	7.535e-6
0.114	7.514e-6
0.115	7.493e-6
0.116	7.471e-6
0.117	7.450e-6
0.118	7.427e-6
0.119	7.404e-6
0.120	7.382e-6
0.121	7.357e-6
0.122	7.334e-6
0.123	7.309e-6
0.124	7.285e-6
0.125	7.261e-6
0.126	7.235e-6
0.127	7.210e-6
0.128	7.185e-6
0.129	7.158e-6
0.130	7.131e-6
0.131	7.103e-6
0.132	7.075e-6
0.133	7.047e-6
0.134	7.018e-6
0.135	6.989e-6
0.136	6.960e-6
0.137	6.928e-6
0.138	6.899e-6
0.139	6.866e-6
0.140	6.834e-6
0.141	6.801e-6
0.142	6.767e-6
0.143	6.733e-6
0.144	6.699e-6
0.145	6.661e-6
0.146	6.626e-6
0.147	6.587e-6
0.148	6.548e-6
0.149	6.510e-6
0.150	6.469e-6
0.151	6.428e-6
0.152	6.386e-6
0.153	6.339e-6
0.154	6.293e-6
0.155	6.248e-6
0.156	6.200e-6
0.157	6.152e-6
0.158	6.102e-6
0.159	6.052e-6
0.160	5.998e-6
0.161	5.943e-6
0.162	5.891e-6
0.163	5.833e-6
0.164	5.774e-6
0.165	5.715e-6
0.166	5.652e-6
0.167	5.588e-6
0.168	5.521e-6
0.169	5.453e-6
0.170	5.384e-6
0.171	5.311e-6
0.172	5.238e-6
0.173	5.164e-6
0.174	5.084e-6
0.175	5.003e-6
0.176	4.922e-6
0.177	4.835e-6
0.178	4.746e-6
0.179	4.655e-6
0.180	4.561e-6
0.181	4.466e-6
0.182	4.368e-6
0.183	4.270e-6
0.184	4.167e-6
0.185	4.057e-6
0.186	3.950e-6
0.187	3.834e-6
0.188	3.713e-6
0.189	3.597e-6
0.190	3.472e-6
0.191	3.347e-6
0.192	3.218e-6
0.193	3.082e-6
0.194	2.948e-6
0.195	2.805e-6
0.196	2.662e-6
0.197	2.516e-6
0.198	2.361e-6
0.199	2.207e-6
0.200	2.047e-6
0.201	1.882e-6
0.202	1.718e-6
0.203	1.544e-6
0.204	1.368e-6
0.205	1.183e-6
0.206	9.977e-7
0.207	8.118e-7
0.208	6.209e-7
0.209	4.238e-7
0.210	2.262e-7
0.211	2.119e-8
0.212	-1.856e-7
0.213	-3.924e-7
0.214	-6.099e-7
0.215	-8.292e-7
0.216	-1.055e-6
0.217	-1.287e-6
0.218	-1.514e-6
0.219	-1.752e-6
0.220	-1.991e-6
0.221	-2.228e-6
0.222	-2.478e-6
0.223	-2.718e-6
0.224	-2.967e-6
0.225	-3.227e-6
0.226	-3.476e-6
0.227	-3.739e-6
0.228	-3.999e-6
0.229	-4.255e-6
0.230	-4.522e-6
0.231	-4.788e-6
0.232	-5.052e-6
0.233	-5.316e-6
0.234	-5.576e-6
0.235	-5.850e-6
0.236	-6.119e-6
0.237	-6.382e-6
0.238	-6.651e-6
0.239	-6.912e-6
0.240	-7.178e-6
0.241	-7.445e-6
0.242	-7.702e-6
0.243	-7.964e-6
0.244	-8.223e-6
0.245	-8.479e-6
0.246	-8.731e-6
0.247	-8.987e-6
0.248	-9.229e-6
0.249	-9.475e-6
0.250	-9.702e-6
0.251	-9.943e-6
0.252	-1.018e-5
0.253	-1.040e-5
0.254	-1.063e-5
0.255	-1.084e-5
0.256	-1.105e-5
0.257	-1.126e-5
0.258	-1.145e-5
0.259	-1.165e-5
0.260	-1.183e-5
0.261	-1.201e-5
0.262	-1.219e-5
0.263	-1.235e-5
0.264	-1.251e-5
0.265	-1.267e-5
0.266	-1.281e-5
0.267	-1.295e-5
0.268	-1.308e-5
0.269	-1.320e-5
0.270	-1.332e-5
0.271	-1.342e-5
0.272	-1.353e-5
0.273	-1.362e-5
0.274	-1.370e-5
0.275	-1.378e-5
0.276	-1.385e-5
0.277	-1.392e-5
0.278	-1.398e-5
0.279	-1.402e-5
0.280	-1.407e-5
0.281	-1.411e-5
0.282	-1.413e-5
0.283	-1.416e-5
0.284	-1.417e-5
0.285	-1.418e-5
0.286	-1.419e-5
0.287	-1.418e-5
0.288	-1.417e-5
0.289	-1.416e-5
0.290	-1.414e-5
0.291	-1.412e-5
0.292	-1.409e-5
0.293	-1.405e-5
0.294	-1.401e-5
0.295	-1.397e-5
0.296	-1.392e-5
0.297	-1.387e-5
0.298	-1.381e-5
0.299	-1.376e-5
0.300	-1.369e-5
0.301	-1.362e-5
0.302	-1.355e-5
0.303	-1.349e-5
0.304	-1.341e-5
0.305	-1.334e-5
0.306	-1.325e-5
0.307	-1.318e-5
0.308	-1.309e-5
0.309	-1.301e-5
0.310	-1.292e-5
0.311	-1.283e-5
0.312	-1.274e-5
0.313	-1.266e-5
0.314	-1.256e-5
0.315	-1.247e-5
0.316	-1.238e-5
0.317	-1.228e-5
0.318	-1.218e-5
0.319	-1.209e-5
0.320	-1.200e-5
0.321	-1.190e-5
0.322	-1.180e-5
0.323	-1.171e-5
0.324	-1.161e-5
0.325	-1.152e-5
0.326	-1.142e-5
0.327	-1.133e-5
0.328	-1.123e-5
0.329	-1.114e-5
0.330	-1.104e-5
0.331	-1.095e-5
0.332	-1.085e-5
0.333	-1.076e-5
0.334	-1.067e-5
0.335	-1.058e-5
0.336	-1.049e-5
0.337	-1.040e-5
0.338	-1.030e-5
0.339	-1.022e-5
0.340	-1.013e-5
0.341	-1.004e-5
0.342	-9.955e-6
0.343	-9.868e-6
0.344	-9.785e-6
0.345	-9.704e-6
0.346	-9.619e-6
0.347	-9.538e-6
0.348	-9.457e-6
0.349	-9.374e-6
0.350	-9.296e-6
0.351	-9.216e-6
0.352	-9.138e-6
0.353	-9.064e-6
0.354	-8.986e-6
0.355	-8.911e-6
0.356	-8.839e-6
0.357	-8.766e-6
0.358	-8.694e-6
0.359	-8.624e-6
0.360	-8.553e-6
0.361	-8.483e-6
0.362	-8.414e-6
0.363	-8.347e-6
0.364	-8.282e-6
0.365	-8.217e-6
0.366	-8.154e-6
0.367	-8.089e-6
0.368	-8.026e-6
0.369	-7.965e-6
0.370	-7.902e-6
0.371	-7.843e-6
0.372	-7.782e-6
0.373	-7.722e-6
0.374	-7.666e-6
0.375	-7.607e-6
0.376	-7.551e-6
0.377	-7.496e-6
0.378	-7.440e-6
0.379	-7.386e-6
0.380	-7.333e-6
0.381	-7.280e-6
0.382	-7.229e-6
0.383	-7.177e-6
0.384	-7.126e-6
0.385	-7.078e-6
0.386	-7.026e-6
0.387	-6.978e-6
0.388	-6.930e-6
0.389	-6.882e-6
0.390	-6.837e-6
0.391	-6.790e-6
0.392	-6.745e-6
0.393	-6.700e-6
0.394	-6.656e-6
0.395	-6.614e-6
0.396	-6.571e-6
0.397	-6.528e-6
0.398	-6.487e-6
0.399	-6.445e-6
0.400	-6.405e-6
0.401	-6.365e-6
0.402	-6.325e-6
0.403	-6.285e-6
0.404	-6.246e-6
0.405	-6.207e-6
0.406	-6.169e-6
0.407	-6.132e-6
0.408	-6.095e-6
0.409	-6.059e-6
0.410	-6.025e-6
0.411	-5.989e-6
0.412	-5.953e-6
0.413	-5.918e-6
0.414	-5.885e-6
0.415	-5.851e-6
0.416	-5.817e-6
0.417	-5.784e-6
0.418	-5.751e-6
0.419	-5.720e-6
0.420	-5.688e-6
0.421	-5.656e-6
0.422	-5.625e-6
0.423	-5.595e-6
0.424	-5.565e-6
0.425	-5.536e-6
0.426	-5.505e-6
0.427	-5.475e-6
0.428	-5.445e-6
0.429	-5.417e-6
0.430	-5.389e-6
0.431	-5.361e-6
0.432	-5.333e-6
0.433	-5.306e-6
0.434	-5.278e-6
0.435	-5.252e-6
0.436	-5.227e-6
0.437	-5.200e-6
0.438	-5.174e-6
0.439	-5.148e-6
0.440	-5.123e-6
0.441	-5.099e-6
0.442	-5.076e-6
0.443	-5.051e-6
0.444	-5.027e-6
0.445	-5.003e-6
0.446	-4.980e-6
0.447	-4.956e-6
0.448	-4.932e-6
0.449	-4.910e-6
0.450	-4.887e-6
0.451	-4.865e-6
0.452	-4.843e-6
0.453	-4.820e-6
0.454	-4.799e-6
0.455	-4.778e-6
0.456	-4.756e-6
0.457	-4.736e-6
0.458	-4.714e-6
0.459	-4.692e-6
0.460	-4.672e-6
0.461	-4.651e-6
0.462	-4.631e-6
0.463	-4.611e-6
0.464	-4.592e-6
0.465	-4.573e-6
0.466	-4.553e-6
0.467	-4.534e-6
0.468	-4.515e-6
0.469	-4.496e-6
0.470	-4.478e-6
0.471	-4.460e-6
0.472	-4.441e-6
0.473	-4.423e-6
0.474	-4.405e-6
0.475	-4.388e-6
0.476	-4.370e-6
0.477	-4.352e-6
0.478	-4.335e-6
0.479	-4.318e-6
0.480	-4.302e-6
0.481	-4.285e-6
0.482	-4.268e-6
0.483	-4.252e-6
0.484	-4.235e-6
0.485	-4.219e-6
0.486	-4.204e-6
0.487	-4.188e-6
0.488	-4.172e-6
0.489	-4.157e-6
0.490	-4.141e-6
0.491	-4.127e-6
0.492	-4.112e-6
0.493	-4.096e-6
0.494	-4.082e-6
0.495	-4.068e-6
0.496	-4.053e-6
0.497	-4.039e-6
0.498	-4.024e-6
0.499	-4.010e-6
