Nov. 15, 2016   11:04:45
Cyclic Voltammetry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\samplec_0,1.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: Sample C
Note: 

Init E (V) = 0
High E (V) = 1.2
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:
Ep = 0.446V
ip = -2.135e-6A
Ah = -7.987e-7C

Ep = 1.036V
ip = -1.218e-5A
Ah = -6.428e-6C

Segment 2:
Ep = 0.422V
ip = 3.483e-6A
Ah = 2.242e-6C

Potential/V	Current/A
0.237	-5.058e-6
0.238	-5.076e-6
0.239	-5.083e-6
0.240	-5.086e-6
0.241	-5.106e-6
0.242	-5.106e-6
0.243	-5.111e-6
0.244	-5.124e-6
0.245	-5.119e-6
0.246	-5.136e-6
0.247	-5.139e-6
0.248	-5.143e-6
0.249	-5.158e-6
0.250	-5.154e-6
0.251	-5.171e-6
0.252	-5.179e-6
0.253	-5.179e-6
0.254	-5.192e-6
0.255	-5.193e-6
0.256	-5.208e-6
0.257	-5.215e-6
0.258	-5.220e-6
0.259	-5.228e-6
0.260	-5.234e-6
0.261	-5.239e-6
0.262	-5.244e-6
0.263	-5.253e-6
0.264	-5.256e-6
0.265	-5.261e-6
0.266	-5.271e-6
0.267	-5.274e-6
0.268	-5.284e-6
0.269	-5.290e-6
0.270	-5.294e-6
0.271	-5.306e-6
0.272	-5.305e-6
0.273	-5.313e-6
0.274	-5.319e-6
0.275	-5.322e-6
0.276	-5.336e-6
0.277	-5.330e-6
0.278	-5.344e-6
0.279	-5.352e-6
0.280	-5.349e-6
0.281	-5.366e-6
0.282	-5.367e-6
0.283	-5.374e-6
0.284	-5.386e-6
0.285	-5.378e-6
0.286	-5.396e-6
0.287	-5.394e-6
0.288	-5.395e-6
0.289	-5.407e-6
0.290	-5.405e-6
0.291	-5.417e-6
0.292	-5.423e-6
0.293	-5.423e-6
0.294	-5.433e-6
0.295	-5.434e-6
0.296	-5.440e-6
0.297	-5.446e-6
0.298	-5.450e-6
0.299	-5.455e-6
0.300	-5.454e-6
0.301	-5.463e-6
0.302	-5.467e-6
0.303	-5.475e-6
0.304	-5.475e-6
0.305	-5.480e-6
0.306	-5.486e-6
0.307	-5.490e-6
0.308	-5.498e-6
0.309	-5.497e-6
0.310	-5.498e-6
0.311	-5.512e-6
0.312	-5.510e-6
0.313	-5.517e-6
0.314	-5.518e-6
0.315	-5.516e-6
0.316	-5.534e-6
0.317	-5.528e-6
0.318	-5.533e-6
0.319	-5.540e-6
0.320	-5.539e-6
0.321	-5.552e-6
0.322	-5.548e-6
0.323	-5.550e-6
0.324	-5.562e-6
0.325	-5.554e-6
0.326	-5.565e-6
0.327	-5.565e-6
0.328	-5.566e-6
0.329	-5.575e-6
0.330	-5.572e-6
0.331	-5.579e-6
0.332	-5.586e-6
0.333	-5.582e-6
0.334	-5.593e-6
0.335	-5.593e-6
0.336	-5.597e-6
0.337	-5.602e-6
0.338	-5.603e-6
0.339	-5.606e-6
0.340	-5.613e-6
0.341	-5.615e-6
0.342	-5.619e-6
0.343	-5.625e-6
0.344	-5.628e-6
0.345	-5.631e-6
0.346	-5.639e-6
0.347	-5.642e-6
0.348	-5.648e-6
0.349	-5.650e-6
0.350	-5.653e-6
0.351	-5.666e-6
0.352	-5.664e-6
0.353	-5.672e-6
0.354	-5.679e-6
0.355	-5.681e-6
0.356	-5.696e-6
0.357	-5.695e-6
0.358	-5.707e-6
0.359	-5.719e-6
0.360	-5.715e-6
0.361	-5.734e-6
0.362	-5.736e-6
0.363	-5.742e-6
0.364	-5.759e-6
0.365	-5.757e-6
0.366	-5.776e-6
0.367	-5.782e-6
0.368	-5.791e-6
0.369	-5.808e-6
0.370	-5.812e-6
0.371	-5.833e-6
0.372	-5.848e-6
0.373	-5.851e-6
0.374	-5.873e-6
0.375	-5.882e-6
0.376	-5.898e-6
0.377	-5.915e-6
0.378	-5.928e-6
