country_name,respid,gender,age,education,corganizedae
liberia,2010193,F,21,6,1
liberia,2010162,F,30,6,1
liberia,2010194,M,35,5,1
liberia,2010134,F,29,0,1
liberia,2010163,M,25,6,1
liberia,2010154,F,23,7,1
liberia,2010112,F,37,0,1
liberia,2010152,M,30,5,1
liberia,2010161,F,29,3,1
liberia,2010192,F,35,6,1
liberia,2010113,F,65,0,1
liberia,2010191,F,32,0,1
liberia,2010151,F,25,6,1
liberia,2010131,M,31,5,1
liberia,2010153,F,24,5,1
liberia,2011103,F,24,3,1
liberia,2011121,F,29,6,1
liberia,2011104,M,30,6,1
liberia,2011175,M,45,6,1
liberia,2011221,M,28,6,1
liberia,2011171,M,35,6,1
liberia,2011202,F,22,5,97
liberia,2011222,M,43,6,1
liberia,2011182,F,32,5,1
liberia,2011183,M,30,7,1
liberia,2011102,F,32,8,0
liberia,2011142,F,56,7,97
liberia,2011122,M,58,6,1
liberia,2011174,F,20,4,1
liberia,2011181,F,29,2,1
liberia,2011101,M,48,88,1
liberia,2011141,F,38,0,1
liberia,2011203,M,37,7,1
liberia,2011123,F,58,0,1
liberia,2011173,,,,1
liberia,2011172,M,59,3,1
liberia,2011201,F,21,7,1
liberia,2011223,M,22,5,1
liberia,2012154,M,38,5,1
liberia,2012223,M,22,6,1
liberia,2012116,M,47,7,1
liberia,2012113,M,69,6,1
liberia,2012164,M,46,8,1
liberia,2012212,M,29,5,1
liberia,2012112,F,40,5,1
liberia,2012163,F,44,2,1
liberia,2012152,M,25,5,1
liberia,2012151,M,56,3,1
liberia,2012111,F,43,2,97
liberia,2012213,F,47,8,1
liberia,2012161,M,45,5,1
liberia,2012162,F,25,5,1
liberia,2012153,F,80,0,1
liberia,2012114,M,39,5,1
liberia,2012115,F,25,6,1
liberia,2012214,M,48,6,1
liberia,2012222,M,24,6,1
liberia,2012211,M,44,7,1
liberia,2012166,F,33,2,1
liberia,2012165,M,23,6,1
liberia,2012221,M,39,7,1
liberia,2013112,F,22,5,1
liberia,2013133,F,51,0,1
liberia,2013192,M,34,5,0
liberia,2013111,F,19,5,1
liberia,2013195,F,33,5,0
liberia,2013153,F,36,0,1
liberia,2013132,F,48,1,1
liberia,2013193,M,50,5,0
liberia,2013152,M,27,6,1
liberia,2013154,M,60,6,1
liberia,2013131,M,45,7,1
liberia,2013191,F,18,6,1
liberia,2013194,F,24,6,1
liberia,2013151,M,26,5,1
liberia,2014183,M,24,6,1
liberia,2014181,M,43,7,1
liberia,2014101,M,27,6,1
liberia,2014184,M,24,5,1
liberia,2014172,M,33,4,1
liberia,2014173,M,52,88,0
liberia,2014202,F,29,3,97
liberia,2014124,M,36,6,1
liberia,2014175,M,47,6,1
liberia,2024185,F,48,5,1
liberia,2014141,M,35,7,1
liberia,2014142,M,19,5,1
liberia,2014182,M,52,7,1
liberia,2014201,F,82,6,1
liberia,2014174,,,,97
liberia,2014123,M,38,6,0
