etc_code,etc_name,status,beds_open,partner_org,latitude,longitude,lab_present,country_name
GIN_0011,Macenta,Open,70,French Red Cross,8.541,-9.471,Y,Guinea
GIN_0010,Gueckedou,Open,100,MSF,8.562,-10.133,Y,Guinea
GIN_0001,Conakry Donka Hospital,Open,70,MSF,9.535,-13.683,Y,Guinea
GIN_0003,Coyah,Under Construction,0,,9.73,-13.421,N,Guinea
GIN_0009,Beyla,Under Construction,0,Women and Health Alliance International,8.69,-8.648,N,Guinea
GIN_0007,Nzerekore,Open,0,Alliance for International Medical Action,7.756,-8.82,N,Guinea
GIN_0054,Kerouane,Under Construction,0,French Red Cross,9.2741,-9.00326,N,Guinea
GIN_0058,Wonkifong,Under Construction,0,,9.730112,-13.42081,N,Guinea
GIN_0059,Kankan,Under Construction,0,MSF,10.383,-9.305,N,Guinea
LBR_0001,BAfrican Risk Capacitylayville,Under Construction,0,Pacific African Risk Capacityhitects and Engineers,4.67654149,-8.23489495,N,Liberia
LBR_0001,,,,Aspen,,,,
LBR_0002,Bopulu,Under Construction,0,Pacific African Risk Capacityhitects and Engineers,7.06390178,-10.4906908,N,Liberia
LBR_0002,,,,Aspen,,,,
LBR_0003,Buchanan,Open,0,Institute of Medicine,5.88810337,-10.03322255,N,Liberia
LBR_0026,Tappita,Under Construction,0,Heart to Heart,6.4899591,-8.85999291,N,Liberia
LBR_0026,,,,Pacific African Risk Capacityhitects and Engineers,,,,
LBR_0010,Greenville,Under Construction,0,Pacific African Risk Capacityhitects and Engineers,5.498,-8.66,N,Liberia
LBR_0010,,,,MSB,,,,
LBR_0011,Harper,Under Construction,0,Partners in Health,4.39341051,-7.69252002,N,Liberia
LBR_0011,,,,Pacific African Risk Capacityhitects and Engineers,,,,
LBR_0006,Fish Town,Under Construction,0,African Risk Capacity,5.19639,-7.876,N,Liberia
LBR_0025,Sinje,Open,50,Institute of Medicine,6.81605455,-11.13382627,N,Liberia
LBR_0030,Zwedru,Open,0,Partners in Health,6.06495705,-8.1380602,N,Liberia
LBR_0030,,,,Pacific African Risk Capacityhitects and Engineers,,,,
LBR_0028,Voinjama,Under Construction,0,Women and Health Alliance International,8.41658363,-9.74996812,N,Liberia
LBR_0028,,,,GOAL,,,,
