Potential/V	Current/A
0.265	-5.134e-6
0.266	-5.136e-6
0.267	-5.146e-6
0.268	-5.150e-6
0.269	-5.161e-6
0.270	-5.167e-6
0.271	-5.171e-6
0.272	-5.176e-6
0.273	-5.185e-6
0.274	-5.189e-6
0.275	-5.194e-6
0.276	-5.203e-6
0.277	-5.209e-6
0.278	-5.213e-6
0.279	-5.226e-6
0.280	-5.224e-6
0.281	-5.234e-6
0.282	-5.244e-6
0.283	-5.243e-6
0.284	-5.258e-6
0.285	-5.256e-6
0.286	-5.266e-6
0.287	-5.272e-6
0.288	-5.269e-6
0.289	-5.288e-6
0.290	-5.291e-6
0.291	-5.293e-6
0.292	-5.305e-6
0.293	-5.301e-6
0.294	-5.317e-6
0.295	-5.321e-6
0.296	-5.324e-6
0.297	-5.338e-6
0.298	-5.335e-6
0.299	-5.347e-6
0.300	-5.356e-6
0.301	-5.356e-6
0.302	-5.370e-6
0.303	-5.375e-6
0.304	-5.380e-6
0.305	-5.391e-6
0.306	-5.397e-6
0.307	-5.408e-6
0.308	-5.416e-6
0.309	-5.424e-6
0.310	-5.433e-6
0.311	-5.441e-6
0.312	-5.447e-6
0.313	-5.454e-6
0.314	-5.463e-6
0.315	-5.475e-6
0.316	-5.488e-6
0.317	-5.496e-6
0.318	-5.504e-6
0.319	-5.522e-6
0.320	-5.528e-6
0.321	-5.544e-6
0.322	-5.554e-6
0.323	-5.562e-6
0.324	-5.586e-6
0.325	-5.588e-6
0.326	-5.604e-6
0.327	-5.624e-6
0.328	-5.632e-6
0.329	-5.659e-6
0.330	-5.671e-6
0.331	-5.691e-6
0.332	-5.716e-6
0.333	-5.727e-6
0.334	-5.760e-6
0.335	-5.782e-6
0.336	-5.802e-6
0.337	-5.834e-6
0.338	-5.858e-6
0.339	-5.890e-6
0.340	-5.924e-6
0.341	-5.952e-6
0.342	-5.993e-6
0.343	-6.026e-6
0.344	-6.067e-6
0.345	-6.112e-6
0.346	-6.155e-6
0.347	-6.205e-6
0.348	-6.258e-6
0.349	-6.311e-6
0.350	-6.371e-6
0.351	-6.431e-6
0.352	-6.497e-6
0.353	-6.568e-6
0.354	-6.645e-6
0.355	-6.722e-6
0.356	-6.815e-6
0.357	-6.902e-6
0.358	-6.998e-6
0.359	-7.114e-6
0.360	-7.215e-6
0.361	-7.340e-6
0.362	-7.467e-6
0.363	-7.607e-6
0.364	-7.764e-6
0.365	-7.904e-6
0.366	-8.074e-6
0.367	-8.253e-6
0.368	-8.429e-6
0.369	-8.644e-6
0.370	-8.840e-6
0.371	-9.067e-6
0.372	-9.322e-6
0.373	-9.563e-6
0.374	-9.851e-6
0.375	-1.014e-5
0.376	-1.044e-5
0.377	-1.077e-5
0.378	-1.110e-5
0.379	-1.150e-5
0.380	-1.190e-5
0.381	-1.232e-5
0.382	-1.278e-5
0.383	-1.326e-5
0.384	-1.376e-5
0.385	-1.431e-5
0.386	-1.488e-5
0.387	-1.551e-5
0.388	-1.616e-5
0.389	-1.685e-5
0.390	-1.755e-5
0.391	-1.831e-5
0.392	-1.912e-5
0.393	-1.995e-5
0.394	-2.087e-5
0.395	-2.180e-5
0.396	-2.280e-5
0.397	-2.386e-5
0.398	-2.495e-5
0.399	-2.611e-5
0.400	-2.730e-5
0.401	-2.857e-5
0.402	-2.987e-5
0.403	-3.124e-5
0.404	-3.270e-5
0.405	-3.414e-5
0.406	-3.570e-5
0.407	-3.729e-5
0.408	-3.893e-5
0.409	-4.067e-5
0.410	-4.247e-5
0.411	-4.430e-5
0.412	-4.616e-5
0.413	-4.802e-5
0.414	-5.000e-5
0.415	-5.191e-5
0.416	-5.394e-5
0.417	-5.598e-5
0.418	-5.800e-5
0.419	-6.012e-5
0.420	-6.219e-5
0.421	-6.428e-5
0.422	-6.638e-5
0.423	-6.842e-5
0.424	-7.049e-5
0.425	-7.253e-5
0.426	-7.451e-5
0.427	-7.645e-5
0.428	-7.835e-5
0.429	-8.019e-5
0.430	-8.194e-5
0.431	-8.361e-5
0.432	-8.519e-5
0.433	-8.673e-5
0.434	-8.814e-5
0.435	-8.942e-5
0.436	-9.065e-5
0.437	-9.170e-5
0.438	-9.266e-5
0.439	-9.353e-5
0.440	-9.421e-5
0.441	-9.483e-5
0.442	-9.526e-5
0.443	-9.560e-5
0.444	-9.584e-5
0.445	-9.589e-5
0.446	-9.591e-5
0.447	-9.576e-5
0.448	-9.551e-5
0.449	-9.524e-5
0.450	-9.476e-5
0.451	-9.426e-5
0.452	-9.368e-5
0.453	-9.296e-5
0.454	-9.228e-5
0.455	-9.146e-5
0.456	-9.063e-5
0.457	-8.976e-5
0.458	-8.884e-5
0.459	-8.793e-5
0.460	-8.695e-5
0.461	-8.595e-5
0.462	-8.497e-5
0.463	-8.395e-5
0.464	-8.296e-5
0.465	-8.195e-5
0.466	-8.094e-5
0.467	-7.994e-5
0.468	-7.894e-5
0.469	-7.796e-5
0.470	-7.698e-5
0.471	-7.602e-5
0.472	-7.507e-5
0.473	-7.415e-5
0.474	-7.325e-5
0.475	-7.235e-5
0.476	-7.149e-5
0.477	-7.062e-5
0.478	-6.978e-5
0.479	-6.898e-5
0.480	-6.817e-5
0.481	-6.740e-5
0.482	-6.666e-5
0.483	-6.592e-5
0.484	-6.523e-5
0.485	-6.451e-5
0.486	-6.384e-5
0.487	-6.318e-5
0.488	-6.251e-5
0.489	-6.189e-5
0.490	-6.128e-5
0.491	-6.068e-5
0.492	-6.011e-5
0.493	-5.953e-5
0.494	-5.900e-5
0.495	-5.847e-5
0.496	-5.794e-5
