Nov. 15, 2016   10:14:14
Cyclic Voltammetry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\cv_cn_0,1.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: Sample Conc: 5e-3M Scan rate = 0.1 V/s
Note: 

Init E (V) = 0.5
High E (V) = 0.5
Low E (V) = 0
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.220V
ip = 2.812e-5A
Ah = 1.809e-5C

Segment 2:
Ep = 0.286V
ip = -2.524e-5A
Ah = -1.597e-5C

Potential/V	Current/A
0.241	2.717e-5
0.240	2.738e-5
0.239	2.756e-5
0.238	2.774e-5
0.237	2.792e-5
0.236	2.808e-5
0.235	2.823e-5
0.234	2.837e-5
0.233	2.851e-5
0.232	2.863e-5
0.231	2.875e-5
0.230	2.884e-5
0.229	2.895e-5
0.228	2.903e-5
0.227	2.908e-5
0.226	2.915e-5
0.225	2.921e-5
0.224	2.925e-5
0.223	2.930e-5
0.222	2.932e-5
0.221	2.933e-5
0.220	2.935e-5
0.219	2.933e-5
0.218	2.934e-5
0.217	2.932e-5
0.216	2.929e-5
0.215	2.927e-5
0.214	2.921e-5
0.213	2.917e-5
0.212	2.912e-5
0.211	2.905e-5
0.210	2.899e-5
0.209	2.891e-5
0.208	2.884e-5
0.207	2.876e-5
0.206	2.867e-5
0.205	2.858e-5
0.204	2.849e-5
0.203	2.839e-5
0.202	2.828e-5
0.201	2.816e-5
0.200	2.805e-5
0.199	2.794e-5
0.198	2.782e-5
0.197	2.771e-5
0.196	2.759e-5
0.195	2.746e-5
0.194	2.734e-5
0.193	2.721e-5
0.192	2.709e-5
0.191	2.696e-5
0.190	2.683e-5
0.189	2.669e-5
0.188	2.656e-5
0.187	2.643e-5
0.186	2.630e-5
0.185	2.617e-5
0.184	2.603e-5
0.183	2.590e-5
0.182	2.577e-5
0.181	2.564e-5
0.180	2.551e-5
0.179	2.537e-5
0.178	2.524e-5
0.177	2.511e-5
0.176	2.498e-5
0.175	2.485e-5
0.174	2.472e-5
0.173	2.459e-5
0.172	2.447e-5
0.171	2.433e-5
0.170	2.422e-5
0.169	2.409e-5
0.168	2.397e-5
0.167	2.385e-5
0.166	2.372e-5
0.165	2.360e-5
0.164	2.349e-5
0.163	2.337e-5
0.162	2.326e-5
0.161	2.314e-5
0.160	2.303e-5
0.159	2.292e-5
0.158	2.281e-5
0.157	2.270e-5
0.156	2.259e-5
0.155	2.249e-5
0.154	2.238e-5
0.153	2.228e-5
0.152	2.218e-5
0.151	2.208e-5
0.150	2.198e-5
0.149	2.188e-5
0.148	2.179e-5
0.147	2.169e-5
0.146	2.160e-5
0.145	2.151e-5
0.144	2.142e-5
0.143	2.133e-5
0.142	2.124e-5
0.141	2.115e-5
0.140	2.107e-5
0.139	2.098e-5
0.138	2.090e-5
0.137	2.082e-5
0.136	2.074e-5
0.135	2.066e-5
0.134	2.058e-5
0.133	2.050e-5
0.132	2.043e-5
0.131	2.035e-5
0.130	2.028e-5
0.129	2.021e-5
0.128	2.014e-5
0.127	2.007e-5
0.126	2.000e-5
0.125	1.994e-5
0.124	1.987e-5
0.123	1.980e-5
0.122	1.974e-5
0.121	1.967e-5
0.120	1.961e-5
0.119	1.955e-5
0.118	1.949e-5
0.117	1.943e-5
0.116	1.937e-5
0.115	1.932e-5
0.114	1.926e-5
0.113	1.920e-5
0.112	1.915e-5
0.111	1.910e-5
0.110	1.904e-5
0.109	1.899e-5
0.108	1.894e-5
0.107	1.889e-5
0.106	1.884e-5
0.105	1.879e-5
0.104	1.874e-5
0.103	1.869e-5
0.102	1.865e-5
0.101	1.860e-5
0.100	1.856e-5
0.099	1.851e-5
0.098	1.847e-5
0.097	1.843e-5
0.096	1.838e-5
0.095	1.834e-5
0.094	1.830e-5
0.093	1.826e-5
0.092	1.822e-5
0.091	1.818e-5
0.090	1.814e-5
0.089	1.811e-5
0.088	1.807e-5
0.087	1.803e-5
0.086	1.799e-5
0.085	1.796e-5
0.084	1.793e-5
0.083	1.789e-5
0.082	1.786e-5
0.081	1.782e-5
0.080	1.779e-5
0.079	1.776e-5
0.078	1.772e-5
0.077	1.769e-5
0.076	1.766e-5
0.075	1.763e-5
0.074	1.760e-5
0.073	1.757e-5
0.072	1.754e-5
0.071	1.752e-5
0.070	1.749e-5
0.069	1.746e-5
0.068	1.743e-5
0.067	1.741e-5
0.066	1.738e-5
0.065	1.735e-5
0.064	1.733e-5
0.063	1.730e-5
0.062	1.728e-5
0.061	1.725e-5
0.060	1.723e-5
0.059	1.720e-5
0.058	1.718e-5
0.057	1.716e-5
0.056	1.713e-5
0.055	1.711e-5
0.054	1.709e-5
0.053	1.707e-5
0.052	1.705e-5
0.051	1.702e-5
0.050	1.700e-5
0.049	1.698e-5
0.048	1.696e-5
0.047	1.695e-5
0.046	1.692e-5
0.045	1.691e-5
0.044	1.689e-5
0.043	1.686e-5
0.042	1.685e-5
